순위,선수명,팀명,포지션,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
1,양석환,두산,1루수,72,72,616,4,0,539,40,48,0.993,0,0,0,-
2,정수빈,두산,중견수,71,69,583,1,0,173,3,1,0.994,0,0,0,-
3,강승호,두산,2루수,69,67,551,11,0,132,160,31,0.964,0,0,0,-
4,라모스,두산,우익수,65,65,541,4,0,103,2,0,0.963,0,0,0,-
5,허경민,두산,3루수,59,58,476 1/3,5,0,42,87,7,0.963,0,0,0,-
6,조수행,두산,좌익수,52,44,399,1,0,123,2,0,0.992,0,0,0,-
7,박준영,두산,유격수,42,37,324,2,0,61,100,25,0.988,0,0,0,-
7,양의지,두산,포수,42,42,346 2/3,3,0,284,14,1,0.99,4,27,4,12.9
9,이병헌,두산,투수,41,0,36 2/3,0,0,1,8,0,1.0,0,0,0,-
10,김기연,두산,포수,40,29,287,2,0,231,17,2,0.992,1,19,4,17.4
11,최지강,두산,투수,39,0,33 2/3,0,2,0,6,0,1.0,0,0,0,-
12,김택연,두산,투수,34,0,33 2/3,0,0,1,2,0,1.0,0,0,0,-
13,전민재,두산,유격수,33,22,202,2,0,41,48,13,0.978,0,0,0,-
14,이영하,두산,투수,31,1,37,1,0,1,4,0,0.833,0,0,0,-
15,박치국,두산,투수,30,0,26,1,0,1,5,0,0.857,0,0,0,-
16,홍건희,두산,투수,29,0,29 2/3,0,0,0,7,1,1.0,0,0,0,-
17,김대한,두산,우익수,26,11,113,1,0,31,0,0,0.969,0,0,0,-
18,김강률,두산,투수,25,0,21,0,0,2,2,0,1.0,0,0,0,-
19,김명신,두산,투수,24,0,23 1/3,0,0,2,1,0,1.0,0,0,0,-
19,김재호,두산,유격수,24,16,145,5,0,30,30,6,0.923,0,0,0,-
21,강승호,두산,1루수,23,7,87,0,0,69,13,8,1.0,0,0,0,-
21,이유찬,두산,2루수,23,5,78,0,0,21,31,7,1.0,0,0,0,-
23,김재환,두산,좌익수,21,21,160 1/3,0,0,32,0,0,1.0,0,0,0,-
23,정철원,두산,투수,21,0,19,0,1,0,1,0,1.0,0,0,0,-
25,박정수,두산,투수,20,1,20 2/3,0,0,0,1,0,1.0,0,0,0,-
26,김대한,두산,좌익수,19,6,80,0,0,15,0,0,1.0,0,0,0,-
26,전민재,두산,3루수,19,6,78,1,0,10,10,2,0.952,0,0,0,-
28,조수행,두산,중견수,16,9,94,0,0,23,1,0,1.0,0,0,0,-
29,곽빈,두산,투수,15,15,85 2/3,0,0,5,6,0,1.0,0,0,0,-
30,브랜든,두산,투수,14,14,75,0,0,0,7,0,1.0,0,0,0,-
31,김호준,두산,투수,13,1,12 2/3,0,0,0,2,0,1.000,0,0,0,-
31,박계범,두산,2루수,13,1,24,0,0,3,5,1,1.000,0,0,0,-
31,이유찬,두산,3루수,13,12,98,2,0,14,22,2,0.947,0,0,0,-
34,김동주,두산,투수,12,8,42 2/3,0,0,2,3,0,1.000,0,0,0,-
34,이교훈,두산,투수,12,0,12 1/3,0,0,1,1,0,1.000,0,0,0,-
36,최원준,두산,투수,11,11,50,1,1,2,3,0,0.833,0,0,0,-
36,최준호,두산,투수,11,10,49 2/3,1,0,1,4,0,0.833,0,0,0,-
