선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
양의지,두산,0.305,129,510,439,56,134,23,0,17,208,68,0,3,57,8,11,56,20,0.474,0.396,0.870,31,0.315,0.667
홍성호,두산,0.292,21,51,48,6,14,4,0,0,18,5,0,0,2,0,1,14,0,0.375,0.333,0.708,5,0.231,0.0
정수빈,두산,0.287,137,583,498,75,143,14,11,2,185,33,12,2,64,1,7,63,2,0.371,0.375,0.746,42,0.253,0.5
김재호,두산,0.283,91,302,247,32,70,13,0,3,92,29,15,2,30,2,8,24,11,0.372,0.376,0.748,17,0.303,0.222
양석환,두산,0.281,140,582,524,73,147,28,0,21,238,89,0,11,41,3,6,133,9,0.454,0.333,0.787,40,0.261,0.0
허경민,두산,0.268,130,475,429,44,115,23,1,7,161,48,0,5,35,3,6,26,6,0.375,0.328,0.703,26,0.224,0.667
박유연,두산,0.267,10,16,15,3,4,2,0,0,6,1,1,0,0,0,0,4,0,0.400,0.267,0.667,1,0.0,0.0
강승호,두산,0.265,127,459,419,51,111,18,6,7,162,59,4,3,27,0,6,110,12,0.387,0.316,0.703,24,0.273,0.167
김인태,두산,0.255,47,115,98,8,25,5,0,1,33,14,1,0,15,0,1,26,1,0.337,0.360,0.697,4,0.313,0.316
로하스,두산,0.253,122,464,403,52,102,24,4,19,191,65,0,3,55,2,3,68,5,0.474,0.345,0.819,28,0.255,0.0
이유찬,두산,0.243,104,239,210,31,51,7,2,1,65,16,5,1,20,0,3,51,0,0.310,0.316,0.626,10,0.17,0.333
양찬열,두산,0.239,44,99,88,15,21,2,2,0,27,6,0,1,9,0,1,23,1,0.307,0.313,0.620,6,0.259,0.0
전민재,두산,0.235,19,18,17,3,4,2,0,0,6,1,1,0,0,0,0,3,2,0.353,0.235,0.588,0,0.2,0.0
송승환,두산,0.229,30,76,70,10,16,3,1,0,21,4,2,0,4,0,0,16,2,0.300,0.270,0.570,4,0.158,0.167
박준영,두산,0.228,51,138,127,16,29,8,2,4,53,17,0,0,9,1,2,53,0,0.417,0.290,0.707,3,0.31,0.714
서예일,두산,0.222,5,10,9,2,2,0,0,0,2,1,0,1,0,0,0,2,0,0.222,0.200,0.422,0,0.0,0.0
김재환,두산,0.220,132,484,405,40,89,15,0,10,134,46,0,2,72,4,5,100,8,0.331,0.343,0.674,21,0.264,0.214
조수행,두산,0.219,126,249,219,41,48,2,1,1,55,17,4,1,23,0,2,38,2,0.251,0.298,0.549,11,0.236,0.0
박계범,두산,0.219,78,194,169,18,37,6,0,2,49,15,5,3,15,1,2,44,4,0.290,0.286,0.576,9,0.127,0.143
김태근,두산,0.212,41,55,52,9,11,3,0,0,14,3,2,0,0,0,1,21,0,0.269,0.226,0.495,3,0.118,0.0
박지훈,두산,0.211,22,21,19,2,4,1,0,0,5,2,0,0,2,0,0,7,0,0.263,0.286,0.549,0,0.333,0.0
안승한,두산,0.208,22,27,24,1,5,0,0,0,5,1,0,0,2,0,1,10,0,0.208,0.296,0.504,1,0.333,0.0
김대한,두산,0.198,33,89,81,10,16,3,1,1,24,7,0,0,7,0,1,21,0,0.296,0.270,0.566,5,0.125,0.0
안재석,두산,0.188,27,68,64,8,12,2,1,1,19,5,0,1,3,0,0,12,0,0.297,0.221,0.518,1,0.118,0.333
장승현,두산,0.158,76,158,139,11,22,1,0,3,32,9,5,0,6,0,8,36,2,0.230,0.235,0.465,3,0.111,0.0
김민혁,두산,0.138,21,36,29,2,4,1,0,0,5,3,0,2,4,0,1,9,3,0.172,0.250,0.422,0,0.125,0.111
신성현,두산,0.083,12,15,12,1,1,0,0,0,1,1,0,0,3,0,0,4,0,0.083,0.267,0.350,0,0.2,0.2
권민석,두산,0.000,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0
김민규,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
김정우,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
박신지,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
박정수,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
박치국,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
이형범,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
정철원,두산,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
최승용,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
홍건희,두산,-,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
