순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,허경민,두산,0.357,63,259,227,42,81,16,0,4,109,33,0,4,17,0,11,14,5,0.480,0.421,0.901,24,0.327,0.667
2,양의지,두산,0.349,67,280,255,27,89,11,0,8,124,56,0,6,15,2,4,22,7,0.486,0.386,0.872,25,0.457,0.5
3,홍성호,두산,0.333,13,13,12,0,4,2,0,0,6,1,0,0,1,0,0,5,0,0.500,0.385,0.885,0,0.167,0.25
4,라모스,두산,0.315,65,284,254,34,80,16,3,8,126,44,1,6,22,0,1,41,3,0.496,0.364,0.860,24,0.29,0.0
5,이유찬,두산,0.307,51,85,75,17,23,3,0,1,29,7,1,0,8,0,1,14,3,0.387,0.381,0.768,5,0.25,0.333
6,강승호,두산,0.291,79,320,296,45,86,18,6,13,155,48,1,3,18,3,2,94,3,0.524,0.332,0.856,24,0.282,0.333
7,서예일,두산,0.286,15,14,14,1,4,0,0,0,4,1,0,0,0,0,0,3,0,0.286,0.286,0.572,1,0.667,0.0
8,전민재,두산,0.280,55,143,132,20,37,4,0,2,47,18,2,1,7,0,1,27,4,0.356,0.319,0.675,11,0.344,0.0
9,김기연,두산,0.277,44,131,119,16,33,5,0,3,47,14,0,1,9,0,2,20,3,0.395,0.336,0.731,8,0.3,0.0
10,조수행,두산,0.269,72,216,186,37,50,2,2,0,56,14,8,2,20,1,0,25,2,0.301,0.337,0.638,13,0.213,0.333
11,김재환,두산,0.265,74,303,257,36,68,16,0,14,126,50,0,8,34,3,4,91,6,0.490,0.350,0.840,12,0.203,0.667
12,정수빈,두산,0.262,73,314,267,50,70,9,3,2,91,19,6,5,32,1,4,34,5,0.341,0.344,0.685,20,0.246,0.0
13,김재호,두산,0.259,26,67,54,6,14,4,0,0,18,3,2,1,9,0,1,10,2,0.333,0.369,0.702,3,0.5,0.0
14,윤준호,두산,0.250,3,4,4,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0.250,0.250,0.500,0,0.0,0.0
15,양석환,두산,0.240,78,318,287,44,69,15,0,17,135,55,0,1,27,0,3,67,11,0.470,0.311,0.781,23,0.289,0.667
16,박준영,두산,0.221,44,151,131,19,29,7,1,4,50,18,1,1,16,0,2,39,0,0.382,0.313,0.695,6,0.209,1.0
17,김민혁,두산,0.200,5,8,5,1,1,0,0,1,4,2,0,0,3,0,0,3,0,0.800,0.500,1.300,0,0.0,0.0
17,박계범,두산,0.200,24,20,15,5,3,1,0,0,4,0,0,0,5,0,0,7,2,0.267,0.400,0.667,0,0.0,0.0
17,안승한,두산,0.200,4,5,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.200,0.200,0.400,0,0.0,0.5
17,장승현,두산,0.200,9,23,20,1,4,2,0,0,6,0,1,0,2,0,0,5,0,0.300,0.273,0.573,1,0.0,0.0
21,김인태,두산,0.174,10,26,23,3,4,0,0,1,7,2,0,1,2,0,0,7,1,0.304,0.231,0.535,0,0.167,0.0
22,김대한,두산,0.143,51,84,70,9,10,1,0,1,14,7,2,2,8,0,2,23,1,0.200,0.244,0.444,1,0.158,0.0
23,김태근,두산,0.111,25,21,18,3,2,0,0,0,2,1,1,0,0,0,2,8,0,0.111,0.200,0.311,0,0.333,0.0
24,김동주,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
24,김명신,두산,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
24,김민규,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
24,김호준,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
24,박민준,두산,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0
24,박정수,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
24,박치국,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
24,양찬열,두산,0.000,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0
24,이교훈,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
24,이영하,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
24,전다민,두산,0.000,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0
24,정철원,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
24,최지강,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
24,홍건희,두산,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
