선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
양의지,두산,0.305,40,87,165,0.53,6,1.02,3.73,0.169,77.7,0.297
홍성호,두산,0.292,4,8,12,0.67,1,0.14,3.65,0.083,5.4,0.244
정수빈,두산,0.287,27,179,115,1.56,4,1.02,4.21,0.084,78.9,0.262
김재호,두산,0.283,16,66,89,0.74,7,1.25,3.85,0.089,35.3,0.262
양석환,두산,0.281,49,86,169,0.51,14,0.31,3.98,0.174,81.6,0.263
허경민,두산,0.268,31,129,164,0.79,6,1.35,3.73,0.107,55.2,0.241
박유연,두산,0.267,2,2,5,0.40,0,0.00,3.50,0.133,1.5,0.22
강승호,두산,0.265,31,108,93,1.16,5,0.25,3.94,0.122,49.2,0.239
김인태,두산,0.255,6,25,22,1.14,2,0.58,4.10,0.082,12.9,0.246
로하스,두산,0.253,47,71,165,0.43,6,0.81,4.11,0.221,67.1,0.274
이유찬,두산,0.243,10,45,64,0.70,0,0.39,4.21,0.067,23.3,0.22
양찬열,두산,0.239,4,19,26,0.73,0,0.39,4.02,0.068,9.1,0.218
전민재,두산,0.235,2,5,5,1.00,0,0.00,2.56,0.118,-0.4,0.194
송승환,두산,0.229,4,16,22,0.73,1,0.25,3.82,0.071,4.6,0.197
박준영,두산,0.228,14,16,29,0.55,1,0.17,4.38,0.189,15.5,0.235
서예일,두산,0.222,0,1,5,0.20,0,0.00,3.00,0.000,0.7,0.146
김재환,두산,0.220,25,96,122,0.79,7,0.72,4.02,0.111,51.8,0.237
조수행,두산,0.219,4,85,49,1.73,3,0.61,3.80,0.032,21.3,0.197
박계범,두산,0.219,8,51,40,1.28,3,0.34,3.79,0.071,14.7,0.201
김태근,두산,0.212,3,6,14,0.43,0,0.00,3.82,0.058,1.8,0.169
박지훈,두산,0.211,1,7,1,7.00,0,0.29,4.00,0.053,1.7,0.194
안승한,두산,0.208,0,6,3,2.00,0,0.20,3.19,0.000,1.9,0.185
김대한,두산,0.198,5,13,31,0.42,0,0.33,3.90,0.099,6.1,0.196
안재석,두산,0.188,4,16,25,0.64,1,0.25,3.53,0.109,4.9,0.174
장승현,두산,0.158,4,50,31,1.61,0,0.17,3.80,0.072,7.6,0.163
김민혁,두산,0.138,1,8,10,0.80,0,0.44,3.69,0.034,1.2,0.156
신성현,두산,0.083,0,3,4,0.75,0,0.75,5.07,0.000,0.2,0.141
권민석,두산,0.000,0,1,0,-,0,0.00,2.00,0.000,-0.2,0.0
김민규,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
김정우,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
박신지,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
박정수,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
박치국,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
이형범,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
정철원,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
최승용,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
홍건희,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
