순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,허경민,두산,0.357,20,63,73,0.86,2,1.21,3.73,0.123,44.0,0.309
2,양의지,두산,0.349,19,53,97,0.55,9,0.68,3.60,0.137,45.6,0.295
3,홍성호,두산,0.333,2,1,2,0.50,0,0.20,3.54,0.167,2.2,0.298
4,라모스,두산,0.315,27,62,77,0.81,5,0.54,3.68,0.181,45.2,0.288
5,이유찬,두산,0.307,4,14,24,0.58,0,0.57,4.01,0.080,10.1,0.268
6,강승호,두산,0.291,37,49,70,0.70,8,0.19,3.79,0.233,50.4,0.28
7,서예일,두산,0.286,0,3,4,0.75,0,0.00,4.29,0.000,1.1,0.2
8,전민재,두산,0.280,6,36,33,1.09,1,0.26,3.31,0.076,14.1,0.233
9,김기연,두산,0.277,8,28,39,0.72,1,0.45,3.81,0.118,14.9,0.25
10,조수행,두산,0.269,4,75,38,1.97,0,0.80,3.56,0.032,26.5,0.227
11,김재환,두산,0.265,30,43,63,0.68,5,0.37,4.14,0.226,46.0,0.28
12,정수빈,두산,0.262,14,91,77,1.18,2,0.94,4.00,0.079,38.4,0.24
13,김재호,두산,0.259,4,12,19,0.63,1,0.90,4.07,0.074,7.3,0.249
14,윤준호,두산,0.250,0,1,1,1.00,0,0.00,4.50,0.000,0.2,0.175
15,양석환,두산,0.240,32,53,99,0.54,6,0.40,4.02,0.230,39.9,0.257
16,박준영,두산,0.221,12,22,42,0.52,1,0.41,4.48,0.160,17.6,0.236
17,김민혁,두산,0.200,1,0,1,0.00,0,1.00,5.25,0.600,2.1,0.425
17,박계범,두산,0.200,1,3,2,1.50,0,0.71,4.70,0.067,1.7,0.247
17,안승한,두산,0.200,0,1,2,0.50,0,0.00,3.80,0.000,0.1,0.14
17,장승현,두산,0.200,2,8,3,2.67,0,0.40,3.70,0.100,1.4,0.198
21,김인태,두산,0.174,1,9,4,2.25,0,0.29,3.38,0.130,1.9,0.18
22,김대한,두산,0.143,2,15,24,0.63,0,0.35,3.89,0.057,4.3,0.16
23,김태근,두산,0.111,0,3,5,0.60,0,0.00,4.10,0.000,-0.1,0.118
24,김동주,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
24,김명신,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
24,김민규,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
24,김호준,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
24,박민준,두산,0.000,0,0,1,0.00,0,-,3.00,0.000,-0.1,0.0
24,박정수,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
24,박치국,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
24,양찬열,두산,0.000,0,1,0,-,0,-,2.00,0.000,-0.1,0.0
24,이교훈,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
24,이영하,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
24,전다민,두산,0.000,0,1,0,-,0,0.00,3.50,0.000,-0.2,0.0
24,정철원,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
24,최지강,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
24,홍건희,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
