순위,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
1,조수행,두산,72,41,37,4,90.2,2,0
2,정수빈,두산,73,31,27,4,87.1,2,1
3,강승호,두산,79,14,11,3,78.6,2,0
4,이유찬,두산,51,10,6,4,60.0,2,1
5,양석환,두산,78,7,4,3,57.1,0,0
6,라모스,두산,65,6,3,3,50.0,3,0
6,전민재,두산,55,5,3,2,60.0,1,0
8,양의지,두산,67,2,2,0,100,5,0
8,허경민,두산,63,2,2,0,100,2,0
10,김대한,두산,51,2,1,1,50.0,3,0
10,박계범,두산,24,1,1,0,100,1,0
10,박준영,두산,44,1,1,0,100,1,0
10,홍성호,두산,13,1,1,0,100,0,0
14,김기연,두산,44,2,0,2,0.0,1,0
14,김동주,두산,1,0,0,0,-,0,0
14,김명신,두산,3,0,0,0,-,0,0
14,김민규,두산,1,0,0,0,-,0,0
14,김민혁,두산,5,0,0,0,-,0,0
14,김인태,두산,10,0,0,0,-,0,0
14,김재호,두산,26,0,0,0,-,1,0
14,김재환,두산,74,1,0,1,0.0,1,0
14,김태근,두산,25,1,0,1,0.0,2,0
14,김호준,두산,2,0,0,0,-,0,0
14,박민준,두산,1,0,0,0,-,0,0
14,박정수,두산,1,0,0,0,-,0,0
14,박치국,두산,2,0,0,0,-,0,0
14,서예일,두산,15,0,0,0,-,0,0
14,안승한,두산,4,0,0,0,-,0,0
14,양찬열,두산,3,0,0,0,-,0,0
14,윤준호,두산,3,0,0,0,-,0,0
14,이교훈,두산,2,0,0,0,-,0,0
14,이영하,두산,1,0,0,0,-,0,0
14,장승현,두산,9,1,0,1,0.0,0,0
14,전다민,두산,3,0,0,0,-,0,0
14,정철원,두산,2,0,0,0,-,0,0
14,최지강,두산,1,0,0,0,-,0,0
14,홍건희,두산,3,0,0,0,-,0,0
