순위,선수명,팀명,타율,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살타,타순
1,김동진,삼성,1.0,1,1,0,0,0,1,0,0,0,0,1번
2,김태훈,삼성,0.4,5,2,0,0,0,0,0,0,0,0,1번
3,구자욱,삼성,0.379,29,11,1,1,1,4,5,1,4,0,1번
4,이성규,삼성,0.313,16,5,0,0,1,1,2,0,2,0,1번
5,김성윤,삼성,0.286,7,2,1,0,0,0,1,0,0,0,1번
6,김지찬,삼성,0.284,204,58,8,0,1,14,25,6,17,1,1번
7,김헌곤,삼성,0.273,11,3,1,0,2,3,2,1,1,2,1번
8,류지혁,삼성,0.25,4,1,1,0,0,0,0,0,1,0,1번
9,김현준,삼성,0.192,26,5,4,1,0,2,2,0,6,1,1번
10,강민호,삼성,0.0,2,0,0,0,0,0,1,0,0,0,1번
10,김재혁,삼성,0.0,4,0,0,0,0,0,0,0,2,1,1번
10,김호진,삼성,0.0,2,0,0,0,0,0,0,0,0,0,1번
10,안주형,삼성,0.0,2,0,0,0,0,0,1,1,1,0,1번
1,김동진,삼성,1.000,1,1,0,0,1,1,0,0,0,0,2번
2,김재혁,삼성,0.500,2,1,0,0,0,0,0,0,1,0,2번
3,강민호,삼성,0.333,3,1,0,0,0,1,0,0,0,0,2번
4,김헌곤,삼성,0.325,40,13,2,0,1,7,6,0,8,0,2번
5,이성규,삼성,0.316,19,6,0,0,1,5,1,1,7,0,2번
6,이재현,삼성,0.306,98,30,7,0,5,16,12,0,18,1,2번
7,맥키넌,삼성,0.220,41,9,1,0,0,3,2,0,5,1,2번
8,김지찬,삼성,0.211,19,4,1,0,0,0,2,1,1,1,2번
9,구자욱,삼성,0.206,34,7,1,0,3,6,3,1,9,0,2번
10,김영웅,삼성,0.200,5,1,0,0,0,0,0,0,2,0,2번
11,김재상,삼성,0.167,6,1,1,0,0,2,0,0,1,0,2번
11,김태훈,삼성,0.167,6,1,1,0,0,1,0,0,1,0,2번
13,김현준,삼성,0.154,13,2,0,0,0,1,0,0,4,0,2번
14,안주형,삼성,0.143,7,1,1,0,0,0,0,0,1,0,2번
15,김성윤,삼성,0.120,25,3,0,0,0,0,2,1,7,0,2번
16,강한울,삼성,0.000,1,0,0,0,0,0,0,0,0,0,2번
16,김동엽,삼성,0.000,1,0,0,0,0,0,0,0,0,0,2번
16,김호진,삼성,-,0,0,0,0,0,1,0,0,0,0,2번
16,류지혁,삼성,0.000,5,0,0,0,0,0,0,0,1,0,2번
16,박병호,삼성,0.000,2,0,0,0,0,0,1,0,0,0,2번
1,김동진,삼성,1.000,1,1,0,0,0,0,0,0,0,0,3번
1,윤정빈,삼성,1.000,1,1,0,0,0,0,0,0,0,0,3번
3,이재현,삼성,0.400,5,2,0,0,0,1,0,0,1,0,3번
4,구자욱,삼성,0.320,222,71,20,0,11,48,18,6,31,3,3번
