선수명,포지션,수비 승리 기여도,년도,순위,팀명,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
박해민,중견수,2.339,2019,1,삼성,140,129,1147,2,0,385,7,3,0.995,0,0,0,-
강민호,포수,1.432,2019,4,삼성,109,104,842,8,1,660,48,7,0.989,3,63,23,26.7
이학주,유격수,1.052,2019,3,삼성,116,110,935 1/3,19,0,155,281,67,0.958,0,0,0,-
구자욱,우익수,0.293,2019,6,삼성,104,103,870 1/3,2,0,218,8,1,0.991,0,0,0,-
김성훈,2루수,0.285,2019,24,삼성,27,8,104 1/3,1,0,27,36,9,0.984,0,0,0,-
김호재,유격수,0.168,2019,43,삼성,10,2,31,0,0,8,10,6,1.0,0,0,0,-
김헌곤,좌익수,0.126,2019,4,삼성,109,104,909,0,0,213,8,2,1.0,0,0,0,-
박승규,중견수,0.125,2019,54,삼성,6,6,33,0,0,13,0,0,1.0,0,0,0,-
최선호,좌익수,0.120,2019,58,삼성,5,0,20,0,0,8,0,0,1.000,0,0,0,-
김상수,2루수,0.120,2019,2,삼성,121,117,993,10,0,235,328,75,0.983,0,0,0,-
김호재,2루수,0.119,2019,44,삼성,9,2,29,0,0,7,8,4,1.0,0,0,0,-
이성곤,우익수,0.113,2019,58,삼성,5,4,31,0,0,11,1,0,1.000,0,0,0,-
박계범,3루수,0.098,2019,33,삼성,16,11,99 2/3,2,0,11,17,2,0.933,0,0,0,-
최선호,우익수,0.094,2019,54,삼성,6,0,7,0,0,4,0,0,1.0,0,0,0,-
박찬도,좌익수,0.091,2019,66,삼성,4,0,11 2/3,0,0,1,0,0,1.000,0,0,0,-
송준석,좌익수,0.075,2019,40,삼성,12,8,62,0,0,13,0,0,1.0,0,0,0,-
박승규,좌익수,0.061,2019,66,삼성,4,1,10,0,0,2,0,0,1.000,0,0,0,-
김성훈,유격수,0.039,2019,42,삼성,11,3,50 1/3,1,0,14,13,5,0.964,0,0,0,-
박해민,1루수,0.037,2019,66,삼성,4,1,15 1/3,0,0,8,4,2,1.000,0,0,0,-
송준석,중견수,0.029,2019,58,삼성,5,1,12,0,0,4,0,0,1.000,0,0,0,-
윌리엄슨,중견수,0.024,2019,70,삼성,2,2,16,0,0,6,0,0,1.000,0,0,0,-
이성규,2루수,0.022,2019,76,삼성,1,1,8,1,0,1,8,1,0.900,0,0,0,-
김성훈,3루수,0.022,2019,35,삼성,14,2,36,1,0,3,7,0,0.909,0,0,0,-
김재현,2루수,0.021,2019,70,삼성,2,1,8,0,0,0,2,0,1.000,0,0,0,-
이학주,1루수,0.003,2019,76,삼성,1,0,3,0,0,4,0,0,1.000,0,0,0,-
김응민,포수,0.000,2019,46,삼성,8,2,29 1/3,0,0,24,1,0,1.0,1,0,0,-
박승규,우익수,-0.002,2019,58,삼성,5,0,19,0,0,2,0,0,1.0,0,0,0,-
이성곤,좌익수,-0.023,2019,70,삼성,2,1,9,0,0,2,0,0,1.000,0,0,0,-
김민수,포수,-0.026,2019,20,삼성,29,8,104 1/3,0,0,67,7,1,1.0,3,6,2,25.0
김헌곤,중견수,-0.037,2019,46,삼성,8,5,53,0,0,10,0,0,1.0,0,0,0,-
김호재,3루수,-0.038,2019,46,삼성,8,1,19,0,0,0,2,0,1.0,0,0,0,-
박한이,우익수,-0.041,2019,52,삼성,7,4,45,0,0,7,0,0,1.0,0,0,0,-
손주인,3루수,-0.072,2019,66,삼성,4,2,18,0,0,0,2,0,1.000,0,0,0,-
손주인,1루수,-0.073,2019,58,삼성,5,4,35 2/3,2,0,36,0,7,0.947,0,0,0,-
이성규,3루수,-0.075,2019,54,삼성,6,5,36,2,0,7,5,1,0.857,0,0,0,-
김헌곤,우익수,-0.080,2019,76,삼성,1,1,8,0,0,1,0,0,1.000,0,0,0,-
이현동,우익수,-0.081,2019,76,삼성,1,1,7,1,0,2,0,0,0.667,0,0,0,-
박찬도,중견수,-0.083,2019,54,삼성,6,0,11 1/3,0,0,2,0,0,1.0,0,0,0,-
박한이,좌익수,-0.100,2019,58,삼성,5,3,19 1/3,1,0,7,0,0,0.875,0,0,0,-
공민규,1루수,-0.117,2019,31,삼성,17,14,119,2,0,86,8,6,0.979,0,0,0,-
이성규,유격수,-0.127,2019,58,삼성,5,4,38,0,0,7,8,4,1.000,0,0,0,-
박계범,2루수,-0.130,2019,34,삼성,15,11,98,2,0,19,16,6,0.946,0,0,0,-
김동엽,좌익수,-0.133,2019,30,삼성,18,14,130 1/3,1,0,30,0,0,0.968,0,0,0,-
박찬도,우익수,-0.152,2019,31,삼성,17,6,69 2/3,0,0,16,0,0,1.0,0,0,0,-
백승민,1루수,-0.156,2019,46,삼성,8,5,53,1,0,57,3,7,0.984,0,0,0,-
김도환,포수,-0.173,2019,11,삼성,61,30,299 2/3,1,0,202,16,2,0.995,2,21,4,16.0
박계범,유격수,-0.216,2019,21,삼성,28,25,217 2/3,5,0,47,72,17,0.96,0,0,0,-
최영진,1루수,-0.266,2019,17,삼성,42,29,269,4,0,263,22,36,0.986,0,0,0,-
손주인,2루수,-0.268,2019,46,삼성,8,4,35,2,0,11,13,4,0.923,0,0,0,-
송준석,우익수,-0.287,2019,46,삼성,8,4,42,1,0,19,0,0,0.95,0,0,0,-
