순위,선수명,팀명,포지션,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
1,강민호,삼성,포수,65,46,402 1/3,2,0,325,20,3,0.994,4,44,9,17.0
2,김지찬,삼성,중견수,62,51,440,1,0,132,0,0,0.992,0,0,0,-
3,구자욱,삼성,좌익수,58,56,453 1/3,0,0,123,2,1,1.0,0,0,0,-
4,이병헌,삼성,포수,51,27,249 2/3,1,0,205,14,1,0.995,0,26,8,23.5
5,맥키넌,삼성,1루수,44,43,374,3,0,294,33,18,0.991,0,0,0,-
5,박병호,삼성,1루수,44,34,324 2/3,3,0,269,25,20,0.99,0,0,0,-
7,이재현,삼성,유격수,43,40,336 1/3,6,0,77,78,13,0.963,0,0,0,-
8,이성규,삼성,우익수,40,26,236 1/3,2,0,64,2,0,0.971,0,0,0,-
9,김영웅,삼성,유격수,38,33,304 2/3,5,0,70,82,24,0.968,0,0,0,-
10,김영웅,삼성,3루수,37,31,263 1/3,3,0,23,31,0,0.947,0,0,0,-
11,김재윤,삼성,투수,35,0,38,0,0,0,6,0,1.0,0,0,0,-
11,김태훈,삼성,투수,35,0,34,0,1,4,4,1,1.0,0,0,0,-
11,김헌곤,삼성,좌익수,35,11,139 1/3,0,0,37,0,0,1.0,0,0,0,-
14,오승환,삼성,투수,33,0,34 2/3,0,0,0,4,0,1.0,0,0,0,-
14,이승현,삼성,투수,33,0,36 1/3,0,0,2,1,0,1.0,0,0,0,-
16,김재상,삼성,2루수,32,24,205 1/3,2,0,36,63,11,0.98,0,0,0,-
16,임창민,삼성,투수,32,0,28,0,0,0,2,0,1.0,0,0,0,-
18,김헌곤,삼성,우익수,27,21,164 1/3,0,0,41,0,0,1.0,0,0,0,-
18,류지혁,삼성,2루수,27,22,169 1/3,3,0,30,34,7,0.955,0,0,0,-
20,안주형,삼성,2루수,26,16,143 1/3,2,0,34,45,9,0.975,0,0,0,-
20,최하늘,삼성,투수,26,0,32,0,0,1,2,0,1.0,0,0,0,-
22,최성훈,삼성,투수,25,0,11 2/3,0,0,0,3,0,1.0,0,0,0,-
23,김성윤,삼성,중견수,21,6,83 1/3,0,0,26,0,0,1.0,0,0,0,-
24,김대우,삼성,투수,20,1,26 2/3,1,0,0,4,0,0.8,0,0,0,-
24,김현준,삼성,우익수,20,11,110,1,0,42,0,0,0.977,0,0,0,-
24,이승민,삼성,투수,20,5,33 2/3,0,0,1,3,0,1.0,0,0,0,-
27,류지혁,삼성,3루수,19,15,139 1/3,2,0,17,20,3,0.949,0,0,0,-
28,김동진,삼성,2루수,18,6,69,0,0,11,27,5,1.0,0,0,0,-
29,레예스,삼성,투수,16,16,86 2/3,0,0,5,6,0,1.0,0,0,0,-
29,이성규,삼성,1루수,16,2,47,1,0,32,2,3,0.971,0,0,0,-
29,이성규,삼성,중견수,16,12,92 2/3,0,0,24,0,0,1.000,0,0,0,-
29,코너,삼성,투수,16,16,87 1/3,1,0,5,6,0,0.917,0,0,0,-
33,전병우,삼성,3루수,15,12,95 2/3,1,0,11,14,0,0.962,0,0,0,-
34,원태인,삼성,투수,14,14,80,1,0,8,16,0,0.960,0,0,0,-
34,이호성,삼성,투수,14,10,40 1/3,0,0,1,6,0,1.000,0,0,0,-
36,김현준,삼성,중견수,13,5,37,0,0,11,0,0,1.000,0,0,0,-
36,양현,삼성,투수,13,0,9,0,0,0,1,0,1.000,0,0,0,-
38,김호진,삼성,3루수,11,5,46,0,0,3,10,1,1.000,0,0,0,-
38,이승현,삼성,투수,11,11,56 2/3,0,1,6,6,1,1.000,0,0,0,-
40,강한울,삼성,3루수,9,3,41,0,0,1,14,2,1.000,0,0,0,-
40,공민규,삼성,3루수,9,4,33,1,0,1,7,0,0.889,0,0,0,-
40,김성윤,삼성,우익수,9,7,59 1/3,0,0,14,1,0,1.000,0,0,0,-
43,강한울,삼성,2루수,8,0,25,1,0,3,6,0,0.900,0,0,0,-
43,김재혁,삼성,우익수,8,2,18,0,0,3,0,0,1.000,0,0,0,-
43,김지찬,삼성,2루수,8,0,12,0,0,2,0,0,1.000,0,0,0,-
43,윤정빈,삼성,우익수,8,7,66,0,0,11,1,0,1.000,0,0,0,-
47,김재성,삼성,포수,7,2,29,0,0,20,3,0,1.000,1,5,1,16.7
47,최지광,삼성,투수,7,0,8 2/3,0,0,1,0,0,1.000,0,0,0,-
49,김영웅,삼성,2루수,6,4,28,0,0,9,3,0,1.000,0,0,0,-
49,김재혁,삼성,중견수,6,1,18,0,0,5,0,0,1.000,0,0,0,-
49,맥키넌,삼성,3루수,6,4,36 2/3,1,0,3,3,0,0.857,0,0,0,-
49,안주형,삼성,유격수,6,2,22,0,0,3,6,2,1.000,0,0,0,-
49,이상민,삼성,투수,6,0,7,0,0,0,0,0,-,0,0,0,-
49,이성규,삼성,좌익수,6,2,22,0,0,9,0,0,1.000,0,0,0,-
