순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,김헌곤,삼성,0.297,114,467,411,57,122,20,1,5,159,46,5,6,37,1,8,41,18,0.387,0.361,0.748,33,0.313,0.0
2,러프,삼성,0.292,133,568,472,80,138,35,2,22,243,101,0,9,80,6,7,87,18,0.515,0.396,0.911,39,0.317,0.0
3,박찬도,삼성,0.281,30,34,32,10,9,1,0,0,10,2,0,0,2,1,0,10,0,0.313,0.324,0.637,2,0.111,0.5
4,윌리엄슨,삼성,0.273,40,168,154,19,42,7,1,4,63,15,0,1,13,0,0,50,2,0.409,0.327,0.736,13,0.233,0.0
5,김상수,삼성,0.271,129,543,468,76,127,20,2,5,166,38,6,4,50,1,15,67,14,0.355,0.358,0.713,36,0.228,0.25
6,구자욱,삼성,0.267,122,526,475,66,127,27,6,15,211,71,0,6,38,2,7,88,5,0.444,0.327,0.771,32,0.302,0.5
7,이학주,삼성,0.262,118,436,385,43,101,14,3,7,142,36,5,4,32,0,10,89,3,0.369,0.332,0.701,28,0.232,0.25
8,박한이,삼성,0.257,30,85,74,6,19,3,0,2,28,13,1,1,9,0,0,17,0,0.378,0.333,0.711,3,0.217,0.25
9,박계범,삼성,0.256,58,204,168,26,43,8,1,4,65,25,6,3,22,0,5,45,7,0.387,0.354,0.741,9,0.255,0.0
10,이성규,삼성,0.256,16,46,43,3,11,2,0,2,19,7,0,0,2,0,1,16,1,0.442,0.304,0.746,1,0.3,0.667
11,최영진,삼성,0.251,96,275,251,29,63,15,1,5,95,20,8,0,14,2,2,47,4,0.378,0.296,0.674,15,0.228,0.167
12,이원석,삼성,0.246,111,455,395,44,97,20,0,19,174,76,2,7,43,0,8,73,10,0.441,0.327,0.768,24,0.304,0.0
13,공민규,삼성,0.245,28,60,53,4,13,1,0,3,23,6,0,0,6,0,1,18,0,0.434,0.333,0.767,2,0.0,0.222
14,박해민,삼성,0.239,144,581,506,64,121,16,7,5,166,44,12,3,58,0,2,82,4,0.328,0.318,0.646,34,0.239,0.143
15,백승민,삼성,0.238,19,45,42,4,10,1,0,0,11,4,0,1,2,0,0,12,2,0.262,0.267,0.529,3,0.357,0.143
16,송준석,삼성,0.235,26,56,51,6,12,3,0,1,18,4,1,1,2,0,1,14,3,0.353,0.273,0.626,3,0.063,0.0
17,강민호,삼성,0.234,112,393,346,36,81,20,0,13,140,45,2,3,33,2,9,76,9,0.405,0.315,0.720,18,0.235,0.0
18,김응민,삼성,0.231,8,13,13,0,3,1,0,0,4,0,0,0,0,0,0,6,1,0.308,0.231,0.539,0,0.0,1.0
19,김호재,삼성,0.219,28,33,32,1,7,1,0,0,8,0,0,0,1,0,0,7,1,0.250,0.242,0.492,1,0.0,0.333
20,김동엽,삼성,0.215,60,211,195,15,42,4,1,6,66,25,0,2,12,0,2,47,2,0.338,0.265,0.603,11,0.239,0.167
21,김민수,삼성,0.205,29,41,39,5,8,1,0,0,9,2,0,1,1,0,0,16,0,0.231,0.220,0.451,1,0.1,0.5
22,김도환,삼성,0.204,61,106,93,7,19,6,0,2,31,7,4,1,8,0,0,36,0,0.333,0.265,0.598,0,0.238,0.0
23,손주인,삼성,0.194,20,35,31,2,6,0,0,1,9,4,2,0,2,0,0,6,3,0.290,0.242,0.532,0,0.222,0.333
24,박승규,삼성,0.190,14,23,21,2,4,0,0,0,4,2,0,0,2,0,0,7,0,0.190,0.261,0.451,1,0.111,0.0
25,김성훈,삼성,0.182,65,88,77,14,14,1,1,1,20,5,4,0,7,0,0,11,0,0.260,0.250,0.510,1,0.231,0.0
26,이성곤,삼성,0.179,13,28,28,1,5,3,0,0,8,0,0,0,0,0,0,6,0,0.286,0.179,0.465,1,0.0,0.0
27,최선호,삼성,0.167,17,8,6,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0.167,0.375,0.542,0,0.0,0.0
28,권오준,삼성,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
28,김재현,삼성,0.000,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0
28,양우현,삼성,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0
28,이현동,삼성,0.000,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0
28,최지광,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
