º¯¿ß,º±ºˆ∏Ì,∆¿∏Ì,≈∏¿≤,∞Ê±‚,≈∏ºÆ,≈∏ºˆ,µÊ¡°,æ»≈∏,2∑Á≈∏,3∑Á≈∏,»®∑±,∑Á≈∏,≈∏¡°,»Òª˝π¯∆Æ,»Òª˝«√∂Û¿Ã,∫º≥›,∞Ì¿«4±∏,ªÁ±∏,ªÔ¡¯,∫¥ªÏ≈∏,¿Â≈∏¿≤,√‚∑Á¿≤,√‚∑Á¿≤+¿Â≈∏¿≤,∏÷∆º»˜∆Æ,µÊ¡°±«≈∏¿≤,¥Î≈∏≈∏¿≤
1,¿Ã∫¥«Â,ªÔº∫,0.75,3,4,4,1,3,1,0,0,4,1,0,0,0,0,0,1,0,1.0,0.75,1.75,1,0.5,0.0
2,««∑º∂Û,ªÔº∫,0.342,141,630,561,102,192,33,4,28,317,109,0,2,55,12,12,81,19,0.565,0.411,0.976,57,0.375,0.0
3,±Ë¿Áº∫,ªÔº∫,0.335,63,185,161,16,54,10,0,3,73,26,1,3,18,0,2,40,4,0.453,0.402,0.855,14,0.311,0.286
4,∞≠«—øÔ,ªÔº∫,0.323,94,252,226,31,73,12,1,1,90,26,4,2,20,0,0,48,2,0.398,0.375,0.773,19,0.257,0.25
5,¡∂πŒº∫,ªÔº∫,0.308,12,16,13,3,4,0,0,1,7,3,0,0,2,0,1,7,0,0.538,0.438,0.976,0,0.25,0.333
6,±Ë≈¬±∫,ªÔº∫,0.298,102,235,205,20,61,11,0,2,78,25,6,3,17,0,4,34,15,0.38,0.358,0.738,8,0.31,0.435
7,±∏¿⁄øÌ,ªÔº∫,0.293,99,442,409,69,120,23,3,5,164,38,1,2,27,2,3,84,7,0.401,0.34,0.741,32,0.248,0.0
8,±Ë¡ˆ¬˘,ªÔº∫,0.28,113,429,361,62,101,7,6,0,120,25,19,2,45,0,2,64,2,0.332,0.361,0.693,24,0.262,0.286
9,ø¿º±¡¯,ªÔº∫,0.276,100,306,268,30,74,8,0,3,91,24,16,1,18,0,3,51,5,0.34,0.328,0.668,13,0.288,0.2
10,±Ë«ˆ¡ÿ,ªÔº∫,0.275,118,422,363,57,100,19,4,0,127,22,8,0,45,0,6,80,1,0.35,0.365,0.715,23,0.278,0.333
11,ø¿¿Á¿œ,ªÔº∫,0.268,135,536,470,57,126,42,0,21,231,94,0,7,57,8,2,133,7,0.491,0.345,0.836,31,0.304,0.333
12,¿Ãø¯ºÆ,ªÔº∫,0.267,88,335,288,31,77,13,0,10,120,60,3,6,33,2,5,70,7,0.417,0.346,0.763,18,0.368,0.5
13,∞≠πŒ»£,ªÔº∫,0.258,130,444,396,38,102,19,1,13,162,66,1,3,41,4,3,58,21,0.409,0.33,0.739,19,0.287,0.4
14,±ËªÛºˆ,ªÔº∫,0.251,72,260,235,30,59,11,0,2,76,29,4,2,18,0,1,44,6,0.323,0.305,0.628,14,0.3,0.4
15,±Ëµø¡¯,ªÔº∫,0.25,5,4,4,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0.5,0.25,0.75,0,0.0,0.0
16,±Ë¿Á«ı,ªÔº∫,0.242,15,39,33,5,8,1,0,0,9,3,0,1,4,0,1,9,0,0.273,0.333,0.606,1,0.25,0.25
17,¿Ã¿Á«ˆ,ªÔº∫,0.235,75,239,230,23,54,4,0,7,79,23,3,0,5,0,1,44,6,0.343,0.254,0.597,13,0.25,0.0
18,¿Ã«ÿΩ¬,ªÔº∫,0.232,46,106,99,11,23,3,0,0,26,5,6,0,1,0,0,29,1,0.263,0.24,0.503,6,0.286,0.0
19,±Ëµøø±,ªÔº∫,0.221,30,100,95,9,21,5,0,2,32,4,0,1,4,0,0,22,1,0.337,0.25,0.587,4,0.133,0.25
20,π⁄Ω¬±‘,ªÔº∫,0.216,62,83,74,10,16,2,0,0,18,4,5,1,3,0,0,15,0,0.243,0.244,0.487,2,0.211,0.25
21,±Ë«Â∞Ô,ªÔº∫,0.192,80,239,224,18,43,8,0,1,54,20,2,3,9,0,1,22,10,0.241,0.224,0.465,12,0.184,0.25
22,±Ëº∫¿±,ªÔº∫,0.19,48,49,42,14,8,3,0,1,14,2,1,0,5,0,1,10,0,0.333,0.292,0.625,0,0.125,0.25
23,√÷øµ¡¯,ªÔº∫,0.188,43,91,80,5,15,4,0,2,25,10,1,0,8,0,2,20,2,0.313,0.278,0.591,3,0.182,0.25
