¼øÀ§,¼±¼ö¸í,ÆÀ¸í,Å¸À²,ÀåÅ¸,¶¥º¼,¶á°ø,¶¥º¼/¶á°ø,°á½ÂÅ¸,º¼³Ý/»ïÁø,Åõ±¸¼ö/Å¸¼®,¼ø¼öÀåÅ¸À²,ÃßÁ¤µæÁ¡,(1.8xÃâ·çÀ²+ÀåÅ¸À²)/4
1,±èÈ£Àç,»ï¼º,0.322,6,33,28,1.18,1,0.84,4.56,0.068,20.2,0.285
2,±èµ¿¿±,»ï¼º,0.312,41,99,110,0.90,8,0.37,3.73,0.196,68.7,0.289
3,±¸ÀÚ¿í,»ï¼º,0.307,44,99,123,0.80,8,0.56,4.00,0.170,82.7,0.293
4,°­ÇÑ¿ï,»ï¼º,0.305,4,38,12,3.17,2,0.46,4.25,0.057,14.2,0.256
5,±è»ó¼ö,»ï¼º,0.304,26,128,100,1.28,8,1.00,4.14,0.097,63.1,0.279
6,ÃÖ¿µÁø,»ï¼º,0.297,4,34,22,1.55,2,0.81,3.58,0.059,13.9,0.262
7,¹ÚÇØ¹Î,»ï¼º,0.290,34,122,151,0.81,3,0.51,3.99,0.125,71.4,0.259
8,°­¹ÎÈ£,»ï¼º,0.287,33,91,111,0.82,5,0.57,3.81,0.200,55.3,0.279
9,±è¼ºÀ±,»ï¼º,0.286,1,2,2,1.00,0,1.00,3.33,0.143,1.4,0.307
10,ÀÌ¼º°ï,»ï¼º,0.281,12,35,29,1.21,1,0.29,3.69,0.158,20.2,0.258
11,»ì¶óµð³ë,»ï¼º,0.280,14,28,27,1.04,3,0.56,4.28,0.197,27.2,0.304
12,¼ÛÁØ¼®,»ï¼º,0.277,6,14,14,1.00,0,0.33,3.40,0.170,5.0,0.256
13,ÀÌ¿ø¼®,»ï¼º,0.268,30,87,138,0.63,4,0.60,4.07,0.139,61.6,0.255
14,¹Ú½Â±Ô,»ï¼º,0.258,12,56,47,1.19,3,0.22,3.67,0.077,15.7,0.217
15,±èÇå°ï,»ï¼º,0.248,11,82,81,1.01,2,0.71,3.91,0.067,25.4,0.219
16,±èÁöÂù,»ï¼º,0.232,7,89,64,1.39,1,0.55,3.74,0.039,26.1,0.203
17,ÀÌÇÐÁÖ,»ï¼º,0.228,15,47,59,0.80,2,0.45,4.03,0.112,25.7,0.226
18,±èÀÀ¹Î,»ï¼º,0.224,1,21,16,1.31,1,0.23,3.92,0.013,5.0,0.185
19,±èµµÈ¯,»ï¼º,0.220,2,8,10,0.80,0,0.31,3.94,0.049,4.4,0.198
20,¹ÚÂùµµ,»ï¼º,0.219,6,32,23,1.39,2,0.68,4.16,0.083,11.6,0.222
21,ÆÈÄ«,»ï¼º,0.209,15,51,49,1.04,3,0.31,3.82,0.158,20.9,0.214
22,¹Ú°è¹ü,»ï¼º,0.195,10,45,46,0.98,0,0.17,3.87,0.098,9.8,0.175
23,ÀÌ¼º±Ô,»ï¼º,0.181,18,56,59,0.95,4,0.28,3.94,0.181,20.9,0.206
24,±è¹Î¼ö,»ï¼º,0.174,0,10,3,3.33,0,0.33,3.08,0.000,1.0,0.152
25,±èÀçÇö,»ï¼º,0.143,0,7,2,3.50,0,1.00,4.56,0.000,0.6,0.168
26,¾ç¿ìÇö,»ï¼º,0.130,0,9,6,1.50,0,0.20,3.54,0.000,-0.4,0.108
27,±è¼ºÇ¥,»ï¼º,0.125,0,2,3,0.67,0,0.00,3.88,0.000,0.0,0.088
28,±ÇÁ¤¿õ,»ï¼º,0.000,0,0,1,0.00,0,-,5.00,0.000,0.3,0.225
28,±è´ë¿ì,»ï¼º,-,0,0,0,-,0,-,-,-,0.0,0.0
28,¶óÀÌºí¸®,»ï¼º,0.000,0,0,1,0.00,0,-,2.00,0.000,-0.1,0.0
28,¹é½Â¹Î,»ï¼º,0.000,0,5,2,2.50,0,0.50,4.42,0.000,0.2,0.113
28,¾çÃ¢¼·,»ï¼º,-,0,0,0,-,0,-,-,-,0.0,0.0
28,ÀÓÇöÁØ,»ï¼º,-,0,0,0,-,0,-,-,-,0.0,0.0
28,ÀåÁöÈÆ,»ï¼º,-,0,0,0,-,0,-,-,-,0.0,0.0
28,È«Á¤¿ì,»ï¼º,-,0,0,0,-,0,-,-,-,0.0,0.0
