순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,김성표,삼성,0.333,0,3,2,1.50,0,0.71,4.21,0.000,3.6,0.298
2,구자욱,삼성,0.306,62,122,169,0.72,9,0.49,3.87,0.214,103.8,0.292
3,박해민,삼성,0.291,28,116,131,0.89,5,0.84,4.20,0.086,74.3,0.267
4,강민호,삼성,0.291,40,129,113,1.14,12,0.85,3.60,0.187,66.6,0.282
5,피렐라,삼성,0.286,56,143,166,0.86,10,0.64,3.76,0.210,96.3,0.285
6,오재일,삼성,0.285,45,99,102,0.97,9,0.55,3.82,0.227,79.9,0.293
7,김헌곤,삼성,0.281,14,111,76,1.46,2,0.74,4.08,0.076,41.7,0.249
8,최영진,삼성,0.281,4,19,10,1.90,1,0.42,4.03,0.140,8.3,0.262
9,김지찬,삼성,0.274,7,112,75,1.49,6,0.87,3.65,0.030,36.7,0.225
10,김민수,삼성,0.263,8,24,21,1.14,1,0.46,3.67,0.184,11.2,0.255
11,강한울,삼성,0.260,5,64,46,1.39,0,0.50,4.13,0.022,23.7,0.224
12,김현준,삼성,0.250,0,1,2,0.50,0,-,3.25,0.000,-0.1,0.175
13,김동엽,삼성,0.238,13,44,59,0.75,4,0.24,3.67,0.114,20.3,0.216
14,김상수,삼성,0.235,21,147,134,1.10,6,1.02,3.90,0.065,43.1,0.219
15,송준석,삼성,0.235,4,14,12,1.17,0,0.23,3.84,0.157,5.7,0.229
16,이원석,삼성,0.231,28,77,158,0.49,7,0.75,3.91,0.115,53.5,0.24
17,김호재,삼성,0.227,2,25,20,1.25,1,0.64,4.04,0.027,7.8,0.208
18,오선진,삼성,0.214,0,14,11,1.27,0,0.38,4.02,0.000,2.1,0.181
19,이학주,삼성,0.206,12,34,28,1.21,1,0.23,4.16,0.129,13.8,0.208
20,박승규,삼성,0.182,4,24,21,1.14,0,1.00,3.73,0.152,6.3,0.218
21,김성윤,삼성,0.167,0,7,4,1.75,0,0.00,3.32,0.000,0.2,0.113
22,김도환,삼성,0.146,2,7,8,0.88,0,0.10,4.07,0.049,1.2,0.149
23,권정웅,삼성,0.000,0,1,0,-,0,-,6.00,0.000,-0.1,0.0
23,김윤수,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
23,김응민,삼성,0.000,0,1,1,1.00,0,-,3.50,0.000,-0.2,0.0
23,노건우,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
23,문용익,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
23,백승민,삼성,0.000,0,1,0,-,0,0.00,4.67,0.000,-0.3,0.0
23,안주형,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
23,오승환,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
23,이재익,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
23,이태훈,삼성,0.000,0,0,1,0.00,0,0.00,3.50,0.000,-0.2,0.0
