鉴困,急荐疙,评疙,版扁,档风矫档,档风倾侩,档风历瘤,档风己傍伏,林风荤,斑力荤
1,辫瘤蛮,伙己,113,29,25,4,86.2,3,0
2,乔芳扼,伙己,141,20,15,5,75.0,5,2
3,备磊宽,伙己,99,12,11,1,91.7,4,1
4,辫己辣,伙己,48,12,10,2,83.3,1,1
5,辫泅霖,伙己,118,9,6,3,66.7,6,0
6,碍茄匡,伙己,94,6,4,2,66.7,0,0
6,辫犁酋,伙己,15,4,4,0,100,0,1
8,辫清帮,伙己,80,4,3,1,75.0,3,0
9,辫惑荐,伙己,72,3,2,1,66.7,3,0
9,辫己钎,伙己,17,2,2,0,100,1,0
9,冠铰痹,伙己,62,2,2,0,100,0,1
9,坷急柳,伙己,100,4,2,2,50.0,1,0
9,坷犁老,伙己,135,3,2,1,66.7,4,0
9,弥康柳,伙己,43,4,2,2,50.0,0,0
15,炼刮己,伙己,12,1,1,0,100,1,0
16,碍刮龋,伙己,130,0,0,0,-,4,0
16,傍刮痹,伙己,15,0,0,0,-,0,0
16,辫悼勘,伙己,30,3,0,3,0.0,0,0
16,辫悼柳,伙己,5,0,0,0,-,1,0
16,辫辑霖,伙己,1,0,0,0,-,0,0
16,辫康旷,伙己,13,0,0,0,-,0,0
16,辫犁己,伙己,63,0,0,0,-,4,0
16,辫怕焙,伙己,102,0,0,0,-,2,0
16,辫龋犁,伙己,21,0,0,0,-,0,0
16,冠林酋,伙己,2,0,0,0,-,0,0
16,价霖籍,伙己,17,0,0,0,-,0,0
16,救林屈,伙己,18,0,0,0,-,0,0
16,坷铰券,伙己,3,0,0,0,-,0,0
16,快痹刮,伙己,1,0,0,0,-,0,0
16,辣沥后,伙己,13,0,0,0,-,0,0
16,捞捍清,伙己,3,0,0,0,-,0,0
16,捞惑刮,伙己,1,0,0,0,-,0,0
16,捞己痹,伙己,13,0,0,0,-,0,0
16,捞盔籍,伙己,88,0,0,0,-,5,0
16,捞犁泅,伙己,75,0,0,0,-,2,0
16,捞怕绕,伙己,10,0,0,0,-,0,0
16,捞秦铰,伙己,46,0,0,0,-,0,0
16,全沥快,伙己,2,0,0,0,-,0,0
