순위,선수명,팀명,타율,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살타,타순
1,김헌곤,삼성,1.0,1,1,1,0,0,1,1,0,0,0,1번
2,김태훈,삼성,0.5,4,2,0,0,0,0,0,0,0,0,1번
3,구자욱,삼성,0.379,29,11,1,1,1,4,5,1,4,0,1번
4,김성윤,삼성,0.286,7,2,1,0,0,0,1,0,0,0,1번
5,김지찬,삼성,0.283,166,47,8,0,0,11,23,5,14,0,1번
6,이성규,삼성,0.25,4,1,0,0,0,0,0,0,1,0,1번
7,김현준,삼성,0.192,26,5,4,1,0,2,2,0,6,1,1번
8,강민호,삼성,0.0,2,0,0,0,0,0,1,0,0,0,1번
8,김재혁,삼성,0.0,4,0,0,0,0,0,0,0,2,1,1번
8,김호진,삼성,0.0,1,0,0,0,0,0,0,0,0,0,1번
8,류지혁,삼성,0.0,3,0,0,0,0,0,0,0,1,0,1번
1,김재혁,삼성,1.000,1,1,0,0,0,0,0,0,0,0,2번
2,이성규,삼성,0.357,14,5,0,0,1,3,1,1,4,0,2번
3,김헌곤,삼성,0.351,37,13,2,0,1,7,5,0,8,0,2번
4,강민호,삼성,0.333,3,1,0,0,0,1,0,0,0,0,2번
5,맥키넌,삼성,0.292,24,7,1,0,0,2,2,0,5,0,2번
6,이재현,삼성,0.266,64,17,5,0,2,9,8,0,14,1,2번
7,안주형,삼성,0.250,4,1,1,0,0,0,0,0,0,0,2번
8,김지찬,삼성,0.222,18,4,1,0,0,0,2,1,1,1,2번
9,구자욱,삼성,0.206,34,7,1,0,3,6,3,1,9,0,2번
10,김재상,삼성,0.167,6,1,1,0,0,2,0,0,1,0,2번
10,김태훈,삼성,0.167,6,1,1,0,0,1,0,0,1,0,2번
12,김현준,삼성,0.154,13,2,0,0,0,1,0,0,4,0,2번
13,김성윤,삼성,0.120,25,3,0,0,0,0,2,1,7,0,2번
14,강한울,삼성,0.000,1,0,0,0,0,0,0,0,0,0,2번
14,김동엽,삼성,0.000,1,0,0,0,0,0,0,0,0,0,2번
14,김호진,삼성,-,0,0,0,0,0,1,0,0,0,0,2번
14,류지혁,삼성,0.000,5,0,0,0,0,0,0,0,1,0,2번
14,박병호,삼성,0.000,2,0,0,0,0,0,0,0,0,0,2번
1,구자욱,삼성,0.302,162,49,14,0,5,29,12,5,26,3,3번
2,맥키넌,삼성,0.220,59,13,3,0,1,4,10,1,9,2,3번
3,이성규,삼성,0.167,12,2,1,0,0,2,0,2,5,1,3번
4,김성윤,삼성,0.000,1,0,0,0,0,0,0,0,1,0,3번
4,김재상,삼성,0.000,1,0,0,0,0,0,0,0,1,0,3번
4,김재혁,삼성,0.000,3,0,0,0,0,2,1,0,0,0,3번
4,김헌곤,삼성,0.000,1,0,0,0,0,0,1,0,1,0,3번
4,김현준,삼성,-,0,0,0,0,0,0,1,0,0,0,3번
