순위,선수명,팀명,포지션,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
1,강민호,삼성,포수,52,35,318 1/3,2,0,267,17,2,0.993,4,35,7,16.7
2,김지찬,삼성,중견수,48,41,346,1,0,101,0,0,0.99,0,0,0,-
3,구자욱,삼성,좌익수,46,45,364 1/3,0,0,88,2,1,1.0,0,0,0,-
4,맥키넌,삼성,1루수,40,39,341,3,0,265,33,18,0.99,0,0,0,-
5,이병헌,삼성,포수,37,22,194 1/3,1,0,155,12,1,0.994,0,20,7,25.9
6,박병호,삼성,1루수,34,25,245 1/3,2,0,205,17,18,0.991,0,0,0,-
7,이재현,삼성,유격수,33,31,256,6,0,53,62,11,0.95,0,0,0,-
8,김재상,삼성,2루수,32,24,205 1/3,2,0,36,63,11,0.98,0,0,0,-
8,이성규,삼성,우익수,32,20,189 1/3,2,0,51,2,0,0.964,0,0,0,-
10,김영웅,삼성,유격수,31,27,258 2/3,4,0,61,74,24,0.971,0,0,0,-
11,김헌곤,삼성,좌익수,30,8,111 1/3,0,0,31,0,0,1.0,0,0,0,-
12,김영웅,삼성,3루수,29,27,218,2,0,20,27,0,0.959,0,0,0,-
13,김재윤,삼성,투수,28,0,32,0,0,0,6,0,1.0,0,0,0,-
14,오승환,삼성,투수,27,0,29,0,0,0,3,0,1.0,0,0,0,-
14,임창민,삼성,투수,27,0,24 1/3,0,0,0,1,0,1.0,0,0,0,-
16,류지혁,삼성,2루수,26,22,168 1/3,3,0,30,34,7,0.955,0,0,0,-
17,김태훈,삼성,투수,25,0,26 2/3,0,1,4,3,0,1.0,0,0,0,-
18,이승현,삼성,투수,24,0,27 2/3,0,0,2,0,0,1.0,0,0,0,-
18,최하늘,삼성,투수,24,0,29,0,0,1,2,0,1.0,0,0,0,-
20,김헌곤,삼성,우익수,23,18,143,0,0,38,0,0,1.0,0,0,0,-
21,김성윤,삼성,중견수,21,6,83 1/3,0,0,26,0,0,1.0,0,0,0,-
22,김현준,삼성,우익수,20,11,110,1,0,42,0,0,0.977,0,0,0,-
22,최성훈,삼성,투수,20,0,10,0,0,0,2,0,1.0,0,0,0,-
24,이승민,삼성,투수,17,3,26 1/3,0,0,1,2,0,1.0,0,0,0,-
25,류지혁,삼성,3루수,16,12,117 1/3,2,0,16,16,3,0.941,0,0,0,-
26,김대우,삼성,투수,14,1,21,1,0,0,2,0,0.667,0,0,0,-
26,이성규,삼성,1루수,14,2,44,1,0,31,2,3,0.971,0,0,0,-
28,김현준,삼성,중견수,13,5,37,0,0,11,0,0,1.0,0,0,0,-
28,레예스,삼성,투수,13,13,69 2/3,0,0,5,3,0,1.0,0,0,0,-
28,코너,삼성,투수,13,13,69 2/3,1,0,4,5,0,0.9,0,0,0,-
31,안주형,삼성,2루수,12,9,84,2,0,24,30,8,0.964,0,0,0,-
31,원태인,삼성,투수,12,12,69,1,0,8,12,0,0.952,0,0,0,-
33,이성규,삼성,중견수,10,7,52 1/3,0,0,10,0,0,1.000,0,0,0,-
33,이호성,삼성,투수,10,8,30 2/3,0,0,0,5,0,1.000,0,0,0,-
35,강한울,삼성,3루수,9,3,41,0,0,1,14,2,1.000,0,0,0,-
35,김성윤,삼성,우익수,9,7,59 1/3,0,0,14,1,0,1.000,0,0,0,-
35,김호진,삼성,3루수,9,5,43 2/3,0,0,3,9,1,1.000,0,0,0,-
38,강한울,삼성,2루수,8,0,25,1,0,3,6,0,0.900,0,0,0,-
38,김재혁,삼성,우익수,8,2,18,0,0,3,0,0,1.000,0,0,0,-
38,김지찬,삼성,2루수,8,0,12,0,0,2,0,0,1.000,0,0,0,-
38,양현,삼성,투수,8,0,6 2/3,0,0,0,1,0,1.000,0,0,0,-
38,이승현,삼성,투수,8,8,40 2/3,0,0,5,4,1,1.000,0,0,0,-
43,공민규,삼성,3루수,7,4,31,1,0,1,7,0,0.889,0,0,0,-
43,김재성,삼성,포수,7,2,29,0,0,20,3,0,1.000,1,5,1,16.7
45,맥키넌,삼성,3루수,6,4,36 2/3,1,0,3,3,0,0.857,0,0,0,-
45,전병우,삼성,3루수,6,4,35,1,0,6,3,0,0.900,0,0,0,-
47,김동진,삼성,2루수,5,2,17,0,0,4,8,3,1.000,0,0,0,-
47,김재혁,삼성,중견수,5,0,13,0,0,3,0,0,1.000,0,0,0,-
47,류지혁,삼성,1루수,5,1,11,0,0,4,0,0,1.000,0,0,0,-
47,이성규,삼성,좌익수,5,2,21,0,0,9,0,0,1.000,0,0,0,-
51,김동진,삼성,3루수,4,1,13,0,0,1,2,1,1.000,0,0,0,-
51,김재혁,삼성,1루수,4,4,31,0,0,21,4,4,1.000,0,0,0,-
51,김재혁,삼성,좌익수,4,2,21,0,0,10,0,0,1.000,0,0,0,-
51,김호진,삼성,유격수,4,1,14,0,0,1,0,0,1.000,0,0,0,-
51,류승민,삼성,우익수,4,0,7,0,0,3,0,0,1.000,0,0,0,-
51,이상민,삼성,투수,4,0,5,0,0,0,0,0,-,0,0,0,-
51,홍원표,삼성,투수,4,0,6 1/3,0,0,2,3,0,1.000,0,0,0,-
58,강한울,삼성,유격수,3,0,3,0,0,1,0,0,1.000,0,0,0,-
58,김태훈,삼성,우익수,3,2,15,0,0,5,0,0,1.000,0,0,0,-
58,김헌곤,삼성,중견수,3,1,10,0,0,0,0,0,-,0,0,0,-
58,양우현,삼성,2루수,3,3,27,0,0,6,10,3,1.000,0,0,0,-
58,육선엽,삼성,투수,3,0,4 2/3,0,0,2,0,0,1.000,0,0,0,-
58,이재익,삼성,투수,3,0,2 2/3,0,0,0,0,0,-,0,0,0,-
64,공민규,삼성,1루수,2,0,5,0,0,5,2,0,1.000,0,0,0,-
64,김재상,삼성,3루수,2,0,3,0,0,0,1,0,1.000,0,0,0,-
64,김태훈,삼성,좌익수,2,0,3 2/3,0,0,0,0,0,-,0,0,0,-
64,김현준,삼성,좌익수,2,2,12 1/3,0,0,1,0,0,1.000,0,0,0,-
64,백정현,삼성,투수,2,2,8 1/3,0,0,2,2,1,1.000,0,0,0,-
64,안주형,삼성,3루수,2,0,3,0,0,1,2,0,1.000,0,0,0,-
64,안주형,삼성,유격수,2,1,9,0,0,1,3,1,1.000,0,0,0,-
71,강한울,삼성,1루수,1,0,1,0,0,1,0,0,1.000,0,0,0,-
71,김성윤,삼성,좌익수,1,1,8,0,0,3,0,0,1.000,0,0,0,-
71,김영웅,삼성,2루수,1,0,1,0,0,0,0,0,-,0,0,0,-
71,김재상,삼성,유격수,1,0,1,0,0,0,2,0,1.000,0,0,0,-
71,김재성,삼성,1루수,1,1,5,1,0,3,0,1,0.750,0,0,0,-
71,김호진,삼성,1루수,1,0,1,0,0,0,0,0,-,0,0,0,-
71,김호진,삼성,2루수,1,0,2,0,0,1,0,0,1.000,0,0,0,-
71,장필준,삼성,투수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
71,최지광,삼성,투수,1,0,1,0,0,0,0,0,-,0,0,0,-
71,홍정우,삼성,투수,1,0,1,0,0,0,0,0,-,0,0,0,-
