¼øÀ§,¼±¼ö¸í,ÆÀ¸í,Å¸À²,°æ±â,Å¸¼®,Å¸¼ö,µæÁ¡,¾ÈÅ¸,2·çÅ¸,3·çÅ¸,È¨·±,·çÅ¸,Å¸Á¡,Èñ»ý¹øÆ®,Èñ»ýÇÃ¶óÀÌ,º¼³Ý,°íÀÇ4±¸,»ç±¸,»ïÁø,º´»ìÅ¸,SLG,Ãâ·çÀ²,Ãâ·çÀ²+ÀåÅ¸À²,¸ÖÆ¼È÷Æ®,µæÁ¡±ÇÅ¸À²,´ëÅ¸Å¸À²
1,±èÅÂÈÆ,»ï¼º,0.333,6,12,12,2,4,1,0,0,5,1,0,0,0,0,0,2,0,0.417,0.333,0.750,1,0.2,0.667
2,±èÇå°ï,»ï¼º,0.315,50,121,111,18,35,6,0,4,53,16,1,0,8,0,1,24,1,0.477,0.367,0.844,9,0.387,0.429
3,¸ÆÅ°³Í,»ï¼º,0.313,55,246,211,25,66,9,0,4,87,24,0,1,33,3,1,25,5,0.412,0.407,0.819,20,0.27,0.0
4,ÀÌÀçÇö,»ï¼º,0.302,35,145,129,24,39,9,0,4,60,20,0,1,15,1,0,27,1,0.465,0.372,0.837,12,0.35,1.0
5,±èÁöÂù,»ï¼º,0.298,59,235,198,39,59,9,0,1,71,15,5,1,25,0,6,15,2,0.359,0.391,0.750,13,0.316,0.333
6,±¸ÀÚ¿í,»ï¼º,0.298,57,254,225,35,67,16,1,9,112,39,0,2,20,1,7,39,3,0.498,0.370,0.868,18,0.279,0.0
7,°­¹ÎÈ£,»ï¼º,0.286,59,175,154,17,44,3,1,3,58,22,0,2,15,1,4,14,8,0.377,0.360,0.737,9,0.311,0.231
8,·ùÁöÇõ,»ï¼º,0.282,41,151,131,18,37,3,0,1,43,22,1,2,14,0,3,33,2,0.328,0.360,0.688,11,0.289,0.0
9,ÀÌº´Çå,»ï¼º,0.275,38,80,69,3,19,3,0,1,25,6,1,0,9,0,1,25,0,0.362,0.367,0.729,5,0.231,0.0
10,±è¿µ¿õ,»ï¼º,0.270,59,252,215,33,58,9,1,13,108,35,1,2,32,0,2,72,2,0.502,0.367,0.869,15,0.304,0.0
11,ÀÌ¼º±Ô,»ï¼º,0.256,57,146,121,21,31,5,0,10,66,27,4,2,11,0,8,40,2,0.545,0.352,0.897,7,0.3,0.1
12,¾ÈÁÖÇü,»ï¼º,0.243,13,42,37,4,9,2,0,0,11,1,2,0,3,0,0,6,0,0.297,0.300,0.597,2,0.143,0.0
13,±èÀç»ó,»ï¼º,0.238,35,91,84,13,20,4,0,2,30,12,1,1,5,0,0,23,0,0.357,0.278,0.635,4,0.222,0.25
14,Àüº´¿ì,»ï¼º,0.235,8,20,17,1,4,2,0,0,6,1,0,0,2,0,1,8,0,0.353,0.350,0.703,1,0.167,0.0
15,±è¼ºÀ±,»ï¼º,0.222,28,77,63,13,14,2,0,0,16,6,3,2,8,0,1,15,1,0.254,0.311,0.565,3,0.3,0.333
15,¹Úº´È£,»ï¼º,0.222,51,150,126,14,28,2,0,6,48,18,0,0,20,0,4,45,9,0.381,0.347,0.728,6,0.178,0.222
17,±èÀç¼º,»ï¼º,0.200,10,23,20,3,4,1,0,0,5,1,0,0,3,0,0,5,1,0.250,0.304,0.554,1,0.333,0.0
18,±èµ¿¿±,»ï¼º,0.182,6,14,11,1,2,1,0,0,3,2,0,1,1,1,1,5,0,0.273,0.286,0.559,1,0.0,0.0
19,±èÀçÇõ,»ï¼º,0.179,19,43,39,5,7,2,1,0,11,6,0,2,2,0,0,14,2,0.282,0.209,0.491,2,0.1,0.0
20,±èÇöÁØ,»ï¼º,0.154,32,89,78,9,12,6,1,0,20,6,1,2,6,0,2,25,4,0.256,0.227,0.483,2,0.125,0.4
21,±èµ¿Áø,»ï¼º,0.100,10,11,10,1,1,0,0,0,1,0,0,0,1,0,0,3,0,0.100,0.182,0.282,0,0.0,0.0
22,°­ÇÑ¿ï,»ï¼º,0.095,18,25,21,1,2,0,0,0,2,1,3,1,0,0,0,6,1,0.095,0.091,0.186,0,0.167,0.0
23,±èÈ£Áø,»ï¼º,0.087,15,26,23,1,2,0,0,0,2,3,0,1,1,0,1,9,1,0.087,0.154,0.241,0,0.125,0.0
24,°ø¹Î±Ô,»ï¼º,0.077,9,16,13,1,1,0,0,1,4,2,0,0,1,0,2,8,1,0.308,0.250,0.558,0,0.0,0.0
25,±è´ë¿ì,»ï¼º,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
25,±èÀçÀ±,»ï¼º,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
25,±èÅÂÈÆ,»ï¼º,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
25,·ù½Â¹Î,»ï¼º,0.000,5,3,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0.000,0.667,0.667,0,0.0,0.0
25,¾ç¿ìÇö,»ï¼º,0.000,3,11,9,0,0,0,0,0,0,1,1,0,1,0,0,4,0,0.000,0.100,0.100,0,0.0,0.0
25,¿À½ÂÈ¯,»ï¼º,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
25,À°¼±¿±,»ï¼º,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
