鉴困,急荐疙,评疙,鸥啦,厘鸥,顶杭,夺傍,顶杭/夺傍,搬铰鸥,杭齿/伙柳,捧备荐/鸥籍,鉴荐厘鸥啦,眠沥垫痢,(1.8x免风啦+厘鸥啦)/4
1,辫怕绕,伙己,0.333,1,3,3,1.00,1,0.00,3.67,0.083,1.5,0.254
2,辫清帮,伙己,0.315,10,26,26,1.00,2,0.33,4.36,0.162,18.1,0.284
3,钙虐惩,伙己,0.313,13,45,76,0.59,3,1.32,3.61,0.100,35.5,0.286
4,捞犁泅,伙己,0.302,13,26,38,0.68,1,0.56,4.36,0.163,22.1,0.284
5,辫瘤蛮,伙己,0.298,10,71,54,1.31,2,1.67,3.66,0.061,33.3,0.266
6,备磊宽,伙己,0.298,26,63,58,1.09,5,0.51,3.94,0.200,40.3,0.291
7,碍刮龋,伙己,0.286,7,54,44,1.23,1,1.07,3.25,0.091,20.2,0.256
8,幅瘤酋,伙己,0.282,4,38,25,1.52,3,0.42,3.83,0.046,17.0,0.244
9,捞捍清,伙己,0.275,4,14,11,1.27,0,0.36,4.25,0.087,9.8,0.256
10,辫康旷,伙己,0.270,23,38,49,0.78,3,0.44,3.87,0.233,41.4,0.291
11,捞己痹,伙己,0.256,15,18,34,0.53,4,0.28,3.88,0.289,25.1,0.295
12,救林屈,伙己,0.243,2,13,9,1.44,0,0.50,4.00,0.054,3.5,0.209
13,辫犁惑,伙己,0.238,6,26,16,1.63,0,0.22,3.60,0.119,9.6,0.214
14,傈捍快,伙己,0.235,2,2,3,0.67,0,0.25,4.50,0.118,2.2,0.246
15,辫己辣,伙己,0.222,2,24,12,2.00,1,0.53,3.34,0.032,6.7,0.203
15,冠捍龋,伙己,0.222,8,32,21,1.52,3,0.44,4.08,0.159,15.9,0.251
17,辫犁己,伙己,0.200,1,7,4,1.75,0,0.60,4.00,0.050,1.4,0.199
18,辫悼勘,伙己,0.182,1,3,2,1.50,0,0.20,3.57,0.091,1.3,0.197
19,辫犁酋,伙己,0.179,3,11,9,1.22,2,0.14,4.00,0.103,2.2,0.165
20,辫泅霖,伙己,0.154,7,25,18,1.39,1,0.24,3.97,0.103,3.7,0.166
21,辫悼柳,伙己,0.100,0,4,2,2.00,0,0.33,3.73,0.000,0.0,0.107
22,碍茄匡,伙己,0.095,0,8,6,1.33,0,0.00,3.80,0.000,-0.6,0.065
23,辫龋柳,伙己,0.087,0,6,7,0.86,0,0.11,3.19,0.000,-0.3,0.091
24,傍刮痹,伙己,0.077,1,1,3,0.33,0,0.13,4.19,0.231,0.9,0.19
25,辫措快,伙己,-,0,0,0,-,0,-,-,-,0.0,0.0
25,辫犁辣,伙己,-,0,0,0,-,0,-,-,-,0.0,0.0
25,辫怕绕,伙己,-,0,0,0,-,0,-,-,-,0.0,0.0
25,幅铰刮,伙己,0.000,0,0,0,-,0,2.00,5.67,0.000,0.6,0.3
25,剧快泅,伙己,0.000,0,3,2,1.50,0,0.25,3.73,0.000,-0.5,0.045
25,坷铰券,伙己,-,0,0,0,-,0,-,-,-,0.0,0.0
25,腊急勘,伙己,-,0,0,0,-,0,-,-,-,0.0,0.0
