鉴困,急荐疙,评疙,版扁,档风矫档,档风倾侩,档风历瘤,档风己傍伏,林风荤,斑力荤
1,辫瘤蛮,伙己,59,20,19,1,95.0,1,0
2,辫康旷,伙己,59,7,6,1,85.7,1,0
3,捞己痹,伙己,57,5,5,0,100,1,0
4,备磊宽,伙己,57,6,4,2,66.7,5,0
4,辫犁惑,伙己,35,4,4,0,100,1,0
4,幅瘤酋,伙己,41,7,4,3,57.1,2,0
7,辫己辣,伙己,28,4,3,1,75.0,0,0
8,辫犁酋,伙己,19,3,2,1,66.7,1,0
8,救林屈,伙己,13,3,2,1,66.7,1,0
10,辫清帮,伙己,50,2,1,1,50.0,0,0
10,钙虐惩,伙己,55,1,1,0,100,1,0
10,冠捍龋,伙己,51,1,1,0,100,1,0
10,捞犁泅,伙己,35,1,1,0,100,1,0
14,碍刮龋,伙己,59,0,0,0,-,0,0
14,碍茄匡,伙己,18,0,0,0,-,0,0
14,傍刮痹,伙己,9,0,0,0,-,0,0
14,辫措快,伙己,1,0,0,0,-,0,0
14,辫悼勘,伙己,6,0,0,0,-,0,0
14,辫悼柳,伙己,10,0,0,0,-,0,0
14,辫犁己,伙己,10,0,0,0,-,0,0
14,辫犁辣,伙己,1,0,0,0,-,0,0
14,辫怕绕,伙己,1,0,0,0,-,0,0
14,辫怕绕,伙己,6,0,0,0,-,0,0
14,辫泅霖,伙己,32,0,0,0,-,1,0
14,辫龋柳,伙己,15,0,0,0,-,1,0
14,幅铰刮,伙己,5,0,0,0,-,0,0
14,剧快泅,伙己,3,0,0,0,-,0,0
14,坷铰券,伙己,1,0,0,0,-,0,0
14,腊急勘,伙己,1,0,0,0,-,0,0
14,捞捍清,伙己,38,0,0,0,-,1,0
14,傈捍快,伙己,8,0,0,0,-,0,0
