순위,선수명,팀명,타율,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살타,타순
1,이원석,키움,1.0,1,1,0,0,0,0,0,0,0,0,1번
2,송성문,키움,0.444,27,12,1,1,0,6,4,0,2,0,1번
3,김태진,키움,0.333,3,1,0,0,0,0,0,0,1,0,1번
4,이주형,키움,0.314,102,32,5,1,2,9,13,3,19,1,1번
5,이용규,키움,0.304,92,28,3,0,1,5,14,3,18,1,1번
6,예진원,키움,0.25,4,1,1,0,0,0,0,0,2,0,1번
7,김혜성,키움,0.214,14,3,1,0,1,1,0,0,4,0,1번
8,박수종,키움,0.188,32,6,0,0,0,1,0,0,3,1,1번
9,고영우,키움,0.115,26,3,0,0,0,2,2,0,11,0,1번
10,김재현,키움,0.0,3,0,0,0,0,0,0,0,1,0,1번
10,변상권,키움,0.0,3,0,0,0,0,0,0,0,1,0,1번
10,임병욱,키움,0.0,1,0,0,0,0,0,0,0,0,0,1번
10,임지열,키움,0.0,2,0,0,0,0,0,0,0,1,0,1번
1,예진원,키움,1.000,1,1,0,0,0,0,1,0,0,0,2번
2,이용규,키움,0.500,4,2,0,0,0,0,1,0,0,0,2번
3,도슨,키움,0.356,284,101,23,2,9,37,25,3,41,7,2번
4,고영우,키움,0.250,4,1,0,0,0,1,0,0,3,0,2번
5,송성문,키움,0.222,18,4,0,0,1,1,1,0,4,0,2번
6,김태진,키움,0.000,1,0,0,0,0,0,0,0,0,0,2번
6,박수종,키움,-,0,0,0,0,0,0,0,1,0,0,2번
6,변상권,키움,0.000,1,0,0,0,0,0,0,0,0,0,2번
1,김건희,키움,0.429,7,3,0,0,1,3,0,0,2,0,3번
2,김혜성,키움,0.348,247,86,13,2,9,39,29,4,21,4,3번
3,송성문,키움,0.346,26,9,3,0,0,5,4,0,1,1,3번
4,김재현,키움,0.000,1,0,0,0,0,0,0,0,0,0,3번
4,김주형,키움,0.000,1,0,0,0,0,0,0,0,1,0,3번
4,박수종,키움,-,0,0,0,0,0,0,0,1,0,0,3번
4,박주홍,키움,0.000,1,0,0,0,0,0,0,0,1,0,3번
4,송지후,키움,0.000,1,0,0,0,0,0,0,0,0,0,3번
4,임지열,키움,0.000,4,0,0,0,0,0,0,0,1,0,3번
1,고영우,키움,1.0,1,1,0,0,0,0,0,0,0,0,4번
2,이원석,키움,0.4,5,2,1,0,0,1,1,0,0,1,4번
3,송성문,키움,0.385,78,30,4,1,2,21,12,0,9,0,4번
4,이주형,키움,0.225,80,18,2,0,3,14,8,1,28,0,4번
5,최주환,키움,0.19,121,23,4,0,4,17,11,2,27,5,4번
6,김웅빈,키움,0.0,2,0,0,0,0,0,0,0,2,0,4번
6,김태진,키움,0.0,1,0,0,0,0,0,0,0,0,0,4번
6,도슨,키움,0.0,1,0,0,0,0,0,0,0,0,0,4번
6,변상권,키움,0.0,3,0,0,0,0,0,0,0,1,0,4번
6,이형종,키움,0.0,3,0,0,0,0,0,0,0,1,0,4번
1,김재현,키움,1.000,1,1,0,0,0,1,0,0,0,0,5번
2,도슨,키움,0.500,2,1,0,0,0,0,0,0,0,0,5번
2,원성준,키움,0.500,6,3,0,0,0,0,0,0,2,0,5번
