선수명,팀명,포지션,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
이정후,키움,우익수,107,93,809 2/3,2,0,181,8,2,0.990,0,0,0,-
김하성,키움,유격수,96,86,743,14,0,114,256,53,0.964,0,0,0,-
전병우,키움,3루수,94,78,681,8,0,53,139,10,0.960,0,0,0,-
박준태,키움,중견수,90,78,632,1,0,169,4,2,0.994,0,0,0,-
박병호,키움,1루수,88,85,712 2/3,6,0,694,56,69,0.992,0,0,0,-
박동원,키움,포수,86,75,641 1/3,6,4,461,36,4,0.988,7,44,11,20.0
허정협,키움,좌익수,71,59,492,1,0,90,2,0,0.989,0,0,0,-
이지영,키움,포수,70,50,440 2/3,4,2,362,15,1,0.990,0,28,7,20.0
김혜성,키움,2루수,67,50,441 2/3,4,0,112,160,36,0.986,0,0,0,-
김상수,키움,투수,60,0,51 1/3,1,1,3,4,0,0.875,0,0,0,-
양현,키움,투수,58,1,60,1,1,3,8,1,0.917,0,0,0,-
김하성,키움,3루수,55,41,360 1/3,6,0,21,93,11,0.950,0,0,0,-
서건창,키움,2루수,54,52,440 2/3,3,0,124,145,40,0.989,0,0,0,-
김웅빈,키움,1루수,53,44,381 1/3,3,0,364,24,37,0.992,0,0,0,-
김태훈,키움,투수,53,2,64,1,3,2,14,2,0.941,0,0,0,-
조상우,키움,투수,53,0,54 1/3,0,0,2,2,0,1.000,0,0,0,-
이영준,키움,투수,52,0,40,0,1,3,5,2,1.000,0,0,0,-
김혜성,키움,유격수,50,35,322,3,0,58,114,39,0.983,0,0,0,-
박정음,키움,중견수,50,6,130 2/3,0,0,35,0,0,1.000,0,0,0,-
박준태,키움,좌익수,46,23,208 2/3,1,0,51,1,0,0.981,0,0,0,-
김혜성,키움,좌익수,44,32,291 2/3,0,0,60,3,1,1.000,0,0,0,-
이정후,키움,중견수,44,34,284 2/3,1,0,90,2,0,0.989,0,0,0,-
주효상,키움,포수,44,19,191 1/3,4,1,154,14,1,0.977,1,14,9,39.1
김재웅,키움,투수,43,7,59 2/3,1,0,2,6,0,0.889,0,0,0,-
안우진,키움,투수,42,0,36,1,0,2,1,0,0.750,0,0,0,-
조성운,키움,투수,42,0,45,1,1,1,6,0,0.875,0,0,0,-
김규민,키움,좌익수,39,16,170,0,0,52,2,0,1.000,0,0,0,-
러셀,키움,2루수,38,35,303,4,0,65,115,23,0.978,0,0,0,-
허정협,키움,우익수,37,26,215 1/3,2,0,42,1,0,0.956,0,0,0,-
임규빈,키움,투수,33,0,37 2/3,0,0,1,2,0,1.000,0,0,0,-
전병우,키움,1루수,31,13,132 1/3,1,0,129,11,15,0.993,0,0,0,-
러셀,키움,유격수,28,21,191 1/3,8,0,41,64,12,0.929,0,0,0,-
요키시,키움,투수,27,27,159 2/3,4,0,10,37,2,0.922,0,0,0,-
박준태,키움,우익수,26,11,124 2/3,3,0,27,1,0,0.903,0,0,0,-
변상권,키움,중견수,26,14,142,0,0,39,0,0,1.000,0,0,0,-
김선기,키움,투수,25,0,22,0,0,1,0,0,1.000,0,0,0,-
김성민,키움,투수,25,0,23 2/3,0,0,0,8,0,1.000,0,0,0,-
오주원,키움,투수,25,0,18 1/3,0,0,1,5,0,1.000,0,0,0,-
한현희,키움,투수,25,25,135 2/3,0,0,11,17,0,1.000,0,0,0,-
양지율,키움,투수,24,0,23 1/3,0,0,0,3,0,1.000,0,0,0,-
이승호,키움,투수,24,23,118 2/3,1,1,8,15,0,0.958,0,0,0,-
김주형,키움,3루수,21,6,68,2,0,5,12,0,0.895,0,0,0,-
브리검,키움,투수,21,21,107,1,0,5,20,2,0.962,0,0,0,-
최원태,키움,투수,21,21,110,0,0,6,19,1,1.000,0,0,0,-
조영건,키움,투수,20,10,44 1/3,0,0,2,3,0,1.000,0,0,0,-
윤정현,키움,투수,15,4,27 1/3,1,0,3,2,0,0.833,0,0,0,-
박정음,키움,좌익수,14,1,29,0,0,7,0,0,1.000,0,0,0,-
송우현,키움,우익수,12,4,38 2/3,0,0,8,0,0,1.000,0,0,0,-
임병욱,키움,중견수,12,12,91,1,0,20,2,0,0.957,0,0,0,-
김규민,키움,우익수,11,7,62,0,0,15,0,0,1.000,0,0,0,-
김주형,키움,2루수,10,1,29,1,0,7,11,5,0.947,0,0,0,-
문성현,키움,투수,10,2,15,0,0,0,0,0,-,0,0,0,-
김혜성,키움,3루수,9,8,58,2,0,4,10,1,0.875,0,0,0,-
이택근,키움,좌익수,9,8,54,0,0,10,0,0,1.000,0,0,0,-
전병우,키움,2루수,9,5,51,0,0,16,19,5,1.000,0,0,0,-
김동혁,키움,투수,8,0,8 2/3,0,0,1,1,0,1.000,0,0,0,-
김웅빈,키움,3루수,8,3,35,3,0,3,8,0,0.786,0,0,0,-
모터,키움,3루수,8,8,66,2,0,5,14,2,0.905,0,0,0,-
박정음,키움,우익수,8,0,12,0,0,2,0,0,1.000,0,0,0,-
박주홍,키움,좌익수,7,3,22,1,0,6,0,0,0.857,0,0,0,-
신재영,키움,투수,7,0,5,1,0,1,0,0,0.500,0,0,0,-
허정협,키움,1루수,7,1,25,0,0,31,3,7,1.000,0,0,0,-
김수환,키움,1루수,6,1,21,0,0,23,2,3,1.000,0,0,0,-
김은성,키움,3루수,6,0,8,0,0,1,2,0,1.000,0,0,0,-
