선수명,포지션,수비 승리 기여도,년도,팀명,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
김혜성,2루수,2.429,2022,키움,127,123,1080,11,0,293,371,85,0.984,0,0,0,-
이지영,포수,2.193,2022,키움,137,102,994 2/3,11,0,818,77,9,0.988,4,67,33,33.0
송성문,3루수,0.953,2022,키움,138,137,1216,15,0,89,250,23,0.958,0,0,0,-
김태진,2루수,0.444,2022,키움,26,18,167 1/3,3,0,41,65,15,0.972,0,0,0,-
신준우,유격수,0.374,2022,키움,66,16,196 1/3,2,0,31,76,20,0.982,0,0,0,-
김웅빈,1루수,0.268,2022,키움,11,9,77 2/3,1,0,70,8,5,0.987,0,0,0,-
이정후,중견수,0.211,2022,키움,134,132,1155 1/3,2,0,304,7,1,0.994,0,0,0,-
김휘집,2루수,0.115,2022,키움,6,0,10,0,0,1,9,1,1.000,0,0,0,-
전병우,3루수,0.109,2022,키움,14,3,36 1/3,1,0,3,11,1,0.933,0,0,0,-
예진원,중견수,0.077,2022,키움,3,0,4,0,0,2,0,0,1.000,0,0,0,-
박주홍,우익수,0.057,2022,키움,3,1,18,0,0,3,0,0,1.000,0,0,0,-
김혜성,유격수,0.044,2022,키움,3,0,5 2/3,0,0,2,0,0,1.000,0,0,0,-
이재홍,3루수,0.035,2022,키움,1,1,5,0,0,0,1,0,1.000,0,0,0,-
임지열,좌익수,0.031,2022,키움,22,18,155,0,0,39,2,1,1.000,0,0,0,-
이용규,중견수,0.029,2022,키움,2,1,16,0,0,6,0,0,1.000,0,0,0,-
예진원,좌익수,0.015,2022,키움,10,1,21,0,0,6,0,0,1.000,0,0,0,-
김휘집,3루수,0.014,2022,키움,5,0,10,1,0,2,3,2,0.833,0,0,0,-
박준태,우익수,0.011,2022,키움,25,7,102 2/3,0,0,19,0,0,1.000,0,0,0,-
이재홍,2루수,0.009,2022,키움,2,1,6,0,0,2,2,0,1.000,0,0,0,-
이병규,중견수,0.009,2022,키움,1,0,1,0,0,1,0,0,1.000,0,0,0,-
이병규,1루수,0.006,2022,키움,6,5,35,1,0,32,4,3,0.973,0,0,0,-
강민국,2루수,0.001,2022,키움,1,0,2,0,0,1,0,0,1.000,0,0,0,-
전병우,1루수,-0.001,2022,키움,102,40,512,5,0,530,37,56,0.991,0,0,0,-
이용규,우익수,-0.003,2022,키움,4,0,7,0,0,0,0,0,-,0,0,0,-
예진원,우익수,-0.008,2022,키움,3,0,5,0,0,0,0,0,-,0,0,0,-
김주형,2루수,-0.013,2022,키움,7,2,19,0,0,5,2,0,1.000,0,0,0,-
신준우,2루수,-0.025,2022,키움,12,0,16,0,0,7,4,1,1.000,0,0,0,-
강민국,유격수,-0.028,2022,키움,1,1,5,1,0,0,2,0,0.667,0,0,0,-
김태진,중견수,-0.033,2022,키움,2,1,12,0,0,1,0,0,1.000,0,0,0,-
박준태,좌익수,-0.036,2022,키움,17,3,62 2/3,0,0,11,0,0,1.000,0,0,0,-
이병규,좌익수,-0.047,2022,키움,6,2,18,0,0,3,0,0,1.000,0,0,0,-
김시앙,포수,-0.049,2022,키움,12,5,36 1/3,1,0,32,1,0,0.971,1,1,0,0.0
김태진,3루수,-0.050,2022,키움,3,3,26,2,0,2,4,2,0.750,0,0,0,-
박찬혁,1루수,-0.066,2022,키움,7,7,44,2,0,39,4,1,0.956,0,0,0,-
박주홍,좌익수,-0.073,2022,키움,10,8,59,0,0,15,0,0,1.000,0,0,0,-
김태진,좌익수,-0.077,2022,키움,10,8,64,0,0,13,0,0,1.000,0,0,0,-
김준완,중견수,-0.120,2022,키움,18,6,67,0,0,20,0,0,1.000,0,0,0,-
김주형,유격수,-0.122,2022,키움,42,32,291 1/3,11,0,44,101,18,0.929,0,0,0,-
이주형,1루수,-0.142,2022,키움,11,11,75,0,0,65,2,12,1.000,0,0,0,-
박준태,중견수,-0.155,2022,키움,12,4,41,0,0,13,0,0,1.000,0,0,0,-
박찬혁,우익수,-0.212,2022,키움,6,6,49,0,0,10,0,0,1.000,0,0,0,-
김태진,1루수,-0.225,2022,키움,38,30,253 2/3,1,0,236,26,22,0.996,0,0,0,-
박찬혁,좌익수,-0.286,2022,키움,14,9,74,1,0,15,0,0,0.938,0,0,0,-
김준완,좌익수,-0.300,2022,키움,65,39,399 1/3,1,0,92,2,1,0.989,0,0,0,-
김준완,우익수,-0.407,2022,키움,39,34,272,2,0,62,5,0,0.971,0,0,0,-
김재현,포수,-0.411,2022,키움,56,31,217 1/3,4,1,149,18,3,0.977,2,16,6,27.3
이용규,좌익수,-0.438,2022,키움,60,56,442 1/3,2,0,89,2,0,0.978,0,0,0,-
김수환,1루수,-0.465,2022,키움,44,42,297,3,0,275,27,22,0.990,0,0,0,-
김휘집,유격수,-1.307,2022,키움,105,95,798,15,0,138,257,40,0.963,0,0,0,-
푸이그,우익수,-1.583,2022,키움,96,96,842 2/3,6,0,150,8,1,0.963,0,0,0,-
송성문,1루수,,2022,키움,1,0,2,0,0,2,1,0,1.000,0,0,0,-
김주형,3루수,,2022,키움,3,0,3,0,0,0,0,0,-,0,0,0,-
송성문,2루수,,2022,키움,1,0,2,0,0,0,0,0,-,0,0,0,-
이주형,좌익수,,2022,키움,1,0,1,0,0,0,0,0,-,0,0,0,-
