순위,선수명,팀명,포지션,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
1,김재현,키움,포수,61,45,429 1/3,6,1,335,30,6,0.984,3,31,15,32.6
1,김혜성,키움,2루수,61,60,520 2/3,8,0,125,183,47,0.975,0,0,0,-
3,최주환,키움,1루수,60,55,491 1/3,3,0,445,29,49,0.994,0,0,0,-
4,송성문,키움,3루수,50,41,369 2/3,1,0,33,67,10,0.99,0,0,0,-
5,도슨,키움,좌익수,43,37,322 2/3,2,0,88,0,0,0.978,0,0,0,-
6,고영우,키움,3루수,36,27,228 2/3,4,0,19,40,4,0.937,0,0,0,-
7,조상우,키움,투수,34,0,30 2/3,0,0,0,3,0,1.0,0,0,0,-
8,문성현,키움,투수,32,0,30 1/3,0,0,2,1,1,1.0,0,0,0,-
9,이재상,키움,유격수,29,22,188,4,0,39,45,12,0.955,0,0,0,-
10,박수종,키움,중견수,28,15,151 2/3,1,0,41,0,0,0.976,0,0,0,-
11,김성민,키움,투수,27,0,27 2/3,0,0,0,4,0,1.0,0,0,0,-
12,김재웅,키움,투수,26,0,23 2/3,0,0,0,5,1,1.0,0,0,0,-
13,도슨,키움,중견수,25,22,185 2/3,0,0,58,0,0,1.0,0,0,0,-
14,주승우,키움,투수,24,0,22,0,0,3,4,0,1.0,0,0,0,-
15,김건희,키움,포수,23,19,150 1/3,2,0,82,9,0,0.978,1,19,5,20.8
16,이주형,키움,우익수,21,20,163,2,0,44,1,0,0.957,0,0,0,-
17,이형종,키움,우익수,19,19,160,1,0,47,0,0,0.979,0,0,0,-
18,김선기,키움,투수,18,5,40,0,0,0,8,0,1.0,0,0,0,-
19,송성문,키움,1루수,17,7,74,0,0,63,5,12,1.0,0,0,0,-
20,이용규,키움,좌익수,16,15,129 2/3,0,0,40,0,0,1.0,0,0,0,-
20,전준표,키움,투수,16,3,21,1,0,1,1,1,0.667,0,0,0,-
22,김인범,키움,투수,15,10,53,1,0,1,8,0,0.9,0,0,0,-
22,박윤성,키움,투수,15,0,16 2/3,0,0,0,1,0,1.0,0,0,0,-
22,헤이수스,키움,투수,15,15,85 1/3,0,0,1,7,0,1.0,0,0,0,-
22,후라도,키움,투수,15,15,91 1/3,0,0,6,8,0,1.0,0,0,0,-
26,이용규,키움,중견수,14,9,79,0,0,23,0,0,1.0,0,0,0,-
26,주성원,키움,우익수,14,9,76,2,0,25,1,1,0.929,0,0,0,-
28,오석주,키움,투수,13,0,13,0,0,0,2,0,1.0,0,0,0,-
28,이용규,키움,우익수,13,10,94,1,0,25,0,0,0.962,0,0,0,-
28,임병욱,키움,중견수,13,9,73,1,0,18,0,0,0.947,0,0,0,-
28,하영민,키움,투수,13,13,64 2/3,0,0,5,9,1,1.000,0,0,0,-
32,고영우,키움,유격수,12,6,60,1,0,5,17,3,0.957,0,0,0,-
