선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
이정후,키움,0.349,142,627,553,85,193,36,10,23,318,113,0,3,66,12,5,32,10,0.575,0.421,0.996,58,0.387,0.333
김혜성,키움,0.318,129,566,516,81,164,18,7,4,208,48,0,3,47,3,0,83,9,0.403,0.373,0.776,43,0.295,0.0
푸이그,키움,0.277,126,547,473,65,131,30,0,21,224,73,0,4,58,1,12,100,6,0.474,0.367,0.841,37,0.268,0.0
임지열,키움,0.275,40,148,131,16,36,6,0,1,45,15,3,2,10,0,2,43,2,0.344,0.331,0.675,10,0.306,0.5
김태진,키움,0.268,77,276,254,37,68,5,1,0,75,20,3,1,17,0,1,30,4,0.295,0.315,0.610,18,0.211,0.4
이지영,키움,0.267,137,450,420,38,112,13,4,2,139,37,8,0,20,2,2,44,16,0.331,0.303,0.634,26,0.262,0.364
이명기,키움,0.250,2,4,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0.250,0.250,0.500,0,0.0,0.0
이재홍,키움,0.250,4,4,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0.250,0.250,0.500,0,0.0,0.0
송성문,키움,0.247,142,601,547,67,135,21,4,13,203,79,1,7,45,6,1,65,8,0.371,0.302,0.673,31,0.269,0.0
김웅빈,키움,0.226,45,135,115,17,26,5,1,1,36,11,3,0,13,1,4,38,2,0.313,0.326,0.639,4,0.129,0.231
박주홍,키움,0.224,21,57,49,4,11,1,1,0,14,3,0,0,8,1,0,18,1,0.286,0.333,0.619,2,0.111,0.0
김휘집,키움,0.222,112,393,333,40,74,12,1,8,112,36,3,4,39,0,14,115,6,0.336,0.326,0.662,14,0.177,0.0
박찬혁,키움,0.211,52,175,161,13,34,5,0,6,57,17,0,0,9,0,5,67,1,0.354,0.274,0.628,4,0.237,0.0
김재현,키움,0.207,56,88,82,4,17,4,0,1,24,9,2,1,2,0,1,19,3,0.293,0.233,0.526,3,0.286,0.0
전병우,키움,0.203,115,231,197,14,40,7,0,5,62,21,9,1,17,0,7,68,5,0.315,0.288,0.603,9,0.103,0.286
김주형,키움,0.200,55,130,110,16,22,7,1,1,34,5,2,1,4,0,13,29,4,0.309,0.305,0.614,4,0.0,0.5
이용규,키움,0.199,86,326,271,34,54,6,0,0,60,21,1,2,45,0,7,42,7,0.221,0.326,0.547,12,0.211,0.154
김준완,키움,0.192,111,398,317,43,61,10,2,1,78,28,6,3,64,0,8,71,4,0.246,0.339,0.585,12,0.219,0.0
이병규,키움,0.184,24,40,38,7,7,1,1,0,10,5,0,0,2,0,0,11,0,0.263,0.225,0.488,1,0.25,0.0
김수환,키움,0.179,57,168,140,18,25,6,0,4,43,14,3,1,21,0,3,56,0,0.307,0.297,0.604,5,0.107,0.167
이주형,키움,0.169,32,85,71,7,12,0,0,1,15,8,0,1,10,0,3,27,0,0.211,0.294,0.505,0,0.143,0.111
박준태,키움,0.157,52,84,70,9,11,4,0,1,18,10,1,0,11,0,2,33,0,0.257,0.289,0.546,0,0.235,0.0
신준우,키움,0.140,76,54,43,6,6,3,0,0,9,0,2,0,7,0,2,19,0,0.209,0.288,0.497,0,0.091,0.0
예진원,키움,0.100,20,14,10,0,1,0,0,0,1,0,1,0,3,0,0,3,0,0.100,0.308,0.408,0,0.0,0.0
김시앙,키움,0.083,13,14,12,1,1,0,0,0,1,0,1,0,1,0,0,8,1,0.083,0.154,0.237,0,0.0,0.0
강민국,키움,0.000,3,4,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.000,0.250,0.250,0,0.0,0.0
김성진,키움,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
김태훈,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
노운현,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
박승주,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
박주성,키움,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
애플러,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
하영민,키움,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
