순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,도슨,키움,0.355,70,316,287,52,102,23,2,9,156,37,0,1,25,0,3,41,7,0.544,0.411,0.955,32,0.291,0.5
2,김혜성,키움,0.340,66,298,262,49,89,14,2,10,137,40,0,3,29,1,4,26,4,0.523,0.409,0.932,25,0.383,0.0
3,송성문,키움,0.336,72,284,244,34,82,11,2,9,124,52,0,7,32,0,1,30,2,0.508,0.405,0.913,23,0.333,0.333
4,고영우,키움,0.307,51,156,137,12,42,6,0,0,48,18,1,2,16,0,0,34,2,0.350,0.374,0.724,11,0.382,0.0
5,이용규,키움,0.299,41,167,134,18,40,3,1,1,48,9,3,1,24,0,5,23,3,0.358,0.421,0.779,9,0.182,0.5
6,원성준,키움,0.290,13,34,31,6,9,3,0,1,15,5,0,1,2,0,0,12,0,0.484,0.324,0.808,3,0.4,0.5
7,김건희,키움,0.279,24,76,68,6,19,2,0,1,24,10,0,1,7,0,0,26,3,0.353,0.342,0.695,4,0.368,0.333
8,이주형,키움,0.275,45,207,182,35,50,7,1,5,74,23,0,0,21,1,4,47,1,0.407,0.362,0.769,12,0.22,0.0
9,이형종,키움,0.268,21,87,71,18,19,3,0,4,34,17,0,0,15,0,1,17,0,0.479,0.402,0.881,3,0.45,0.0
10,변상권,키움,0.258,34,97,89,5,23,1,0,2,30,11,0,1,7,0,0,22,3,0.337,0.309,0.646,7,0.25,0.2
11,임병욱,키움,0.257,19,38,35,5,9,1,0,0,10,3,0,0,3,0,0,11,1,0.286,0.316,0.602,1,0.5,0.5
12,김재현,키움,0.247,61,190,170,18,42,7,0,0,49,22,6,3,5,0,6,37,5,0.288,0.288,0.576,8,0.255,0.0
13,김태진,키움,0.234,23,48,47,4,11,2,0,0,13,3,0,0,1,1,0,6,0,0.277,0.250,0.527,3,0.231,0.154
14,주성원,키움,0.233,20,48,43,7,10,1,0,1,14,5,1,0,4,0,0,14,2,0.326,0.298,0.624,1,0.3,0.2
15,이원석,키움,0.227,37,105,88,5,20,4,0,0,24,8,0,2,13,0,2,16,2,0.273,0.333,0.606,5,0.2,0.286
16,이재상,키움,0.219,29,77,73,7,16,1,0,1,20,5,1,0,1,0,2,28,0,0.274,0.250,0.524,4,0.143,0.0
17,예진원,키움,0.211,22,21,19,2,4,1,0,0,5,0,0,0,2,0,0,8,1,0.263,0.286,0.549,0,0.0,0.0
18,김동헌,키움,0.200,2,7,5,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0.200,0.429,0.629,0,1.0,0.0
19,최주환,키움,0.199,64,261,236,21,47,7,0,5,69,29,0,4,18,1,3,47,7,0.292,0.261,0.553,12,0.213,0.0
20,박수종,키움,0.197,32,69,61,9,12,1,0,0,13,3,1,0,5,0,2,5,1,0.213,0.279,0.492,3,0.231,0.0
21,장재영,키움,0.167,4,15,12,2,2,1,0,1,6,1,0,0,3,0,0,6,2,0.500,0.333,0.833,0,0.0,0.0
22,김시앙,키움,0.143,6,7,7,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0.143,0.143,0.286,0,0.0,0.0
22,김주형,키움,0.143,12,11,7,0,1,0,0,0,1,1,1,0,1,0,2,4,0,0.143,0.400,0.543,0,0.5,0.0
24,박성빈,키움,0.125,6,9,8,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0.125,0.222,0.347,0,0.0,0.0
25,임지열,키움,0.102,22,57,49,4,5,0,0,1,8,5,0,1,7,0,0,16,2,0.163,0.211,0.374,1,0.0,0.0
26,김웅빈,키움,0.077,6,18,13,1,1,0,0,0,1,1,1,0,3,0,1,6,0,0.077,0.294,0.371,0,0.0,0.0
27,김선기,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,김연주,키움,-,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,김윤하,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,김재웅,키움,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,문성현,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,박주홍,키움,0.000,3,7,6,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0.000,0.143,0.143,0,0.0,0.0
27,박준형,키움,0.000,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.000,0.000,0.000,0,0.0,0.0
27,송지후,키움,0.000,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0
27,신준우,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,이승원,키움,0.000,3,5,4,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0.000,0.000,0.000,0,0.0,0.0
27,주승우,키움,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
