선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
이정후,키움,0.360,55,131,138,0.95,7,1.68,3.94,0.162,100.8,0.328
김혜성,키움,0.304,26,165,137,1.20,7,0.67,4.01,0.063,88.0,0.259
이용규,키움,0.296,25,152,131,1.16,5,1.54,4.24,0.076,76.0,0.27
송우현,키움,0.296,22,76,52,1.46,3,0.57,3.71,0.120,37.3,0.271
김은성,키움,0.278,3,5,2,2.50,0,0.00,3.44,0.167,1.9,0.236
이지영,키움,0.275,6,102,53,1.92,4,1.12,3.50,0.030,22.6,0.224
프레이타스,키움,0.259,12,40,35,1.14,3,0.24,3.70,0.115,13.1,0.227
박동원,키움,0.249,43,105,94,1.12,11,0.46,4.06,0.211,65.6,0.269
송성문,키움,0.249,17,58,85,0.68,4,0.60,3.76,0.122,30.5,0.237
크레익,키움,0.248,18,51,74,0.69,3,0.47,3.67,0.135,27.0,0.24
김웅빈,키움,0.241,20,54,51,1.06,2,0.47,4.16,0.142,35.0,0.257
변상권,키움,0.239,9,55,29,1.90,1,0.23,3.76,0.082,14.5,0.204
박병호,키움,0.227,43,77,105,0.73,9,0.33,4.05,0.203,60.2,0.253
김수환,키움,0.220,4,7,9,0.78,0,0.12,3.91,0.195,4.1,0.216
김재현,키움,0.217,7,14,10,1.40,0,0.25,3.57,0.152,3.6,0.212
김병휘,키움,0.200,0,1,5,0.20,0,0.50,3.27,0.000,0.6,0.173
박준태,키움,0.196,3,13,8,1.63,0,0.63,4.05,0.065,6.0,0.228
전병우,키움,0.187,14,33,59,0.56,1,0.40,4.10,0.121,26.1,0.221
김주형,키움,0.180,3,12,14,0.86,1,0.27,3.70,0.060,7.4,0.235
신준우,키움,0.167,3,5,10,0.50,0,0.19,3.84,0.071,2.9,0.186
이명기,키움,0.167,0,1,1,1.00,0,0.67,4.38,0.000,0.7,0.211
예진원,키움,0.158,8,26,43,0.60,1,0.43,3.89,0.096,7.1,0.175
허정협,키움,0.156,0,11,17,0.65,0,0.70,3.83,0.000,2.0,0.16
문찬종,키움,0.143,0,4,4,1.00,0,0.75,4.41,0.000,0.5,0.168
김휘집,키움,0.129,2,16,23,0.70,0,0.57,4.21,0.057,5.8,0.172
임지열,키움,0.120,0,5,7,0.71,0,0.40,3.77,0.000,0.5,0.15
박주홍,키움,0.106,2,12,9,1.33,0,0.43,4.54,0.043,1.5,0.15
이주형,키움,0.100,1,2,0,-,0,0.14,4.27,0.300,0.9,0.182
김동욱,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
김성민,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
김성진,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
김재웅,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
김정인,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
김태훈,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
문성현,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
박관진,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
박승주,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
박정음,키움,0.000,0,6,6,1.00,0,0.67,3.61,0.000,-0.2,0.075
양현,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
오주원,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
윤정현,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
이승호,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
장재영,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
조상우,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
조영건,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
