선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
김혜성,키움,129,41,34,7,82.9,4,1
이용규,키움,86,14,12,2,85.7,7,0
푸이그,키움,126,9,6,3,66.7,12,1
이정후,키움,142,5,5,0,100,1,1
김주형,키움,55,1,1,0,100,1,0
김준완,키움,111,2,1,1,50.0,3,0
김태진,키움,77,3,1,2,33.3,1,0
이병규,키움,24,1,1,0,100,2,0
이지영,키움,137,2,1,1,50.0,3,1
임지열,키움,40,1,1,0,100,1,0
강민국,키움,3,0,0,0,-,0,0
김성진,키움,2,0,0,0,-,0,0
김수환,키움,57,0,0,0,-,0,1
김시앙,키움,13,0,0,0,-,0,0
김웅빈,키움,45,2,0,2,0.0,0,0
김재현,키움,56,0,0,0,-,1,0
김태훈,키움,1,0,0,0,-,0,0
김휘집,키움,112,0,0,0,-,2,1
노운현,키움,1,0,0,0,-,0,0
박승주,키움,1,0,0,0,-,0,0
박주성,키움,2,0,0,0,-,0,0
박주홍,키움,21,0,0,0,-,0,0
박준태,키움,52,0,0,0,-,2,0
박찬혁,키움,52,1,0,1,0.0,0,1
송성문,키움,142,1,0,1,0.0,1,0
신준우,키움,76,0,0,0,-,0,0
애플러,키움,1,0,0,0,-,0,0
예진원,키움,20,0,0,0,-,0,0
이명기,키움,2,0,0,0,-,0,0
이재홍,키움,4,0,0,0,-,0,1
이주형,키움,32,0,0,0,-,0,0
전병우,키움,115,0,0,0,-,0,0
하영민,키움,3,0,0,0,-,0,0
