선수명,포지션,수비 승리 기여도,년도,팀명,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
이정후,중견수,1.282,2023,키움,81,80,698,1,0,204,5,1,0.995,0,0,0,-
이지영,포수,0.944,2023,키움,78,69,539,4,0,467,32,3,0.992,0,52,14,21.2
김혜성,2루수,0.869,2023,키움,126,124,1067,15,0,247,374,79,0.976,0,0,0,-
박수종,우익수,0.648,2023,키움,14,11,102 2/3,0,0,35,1,0,1.000,0,0,0,-
송성문,3루수,0.504,2023,키움,88,74,685 2/3,8,0,73,128,16,0.962,0,0,0,-
김동헌,포수,0.247,2023,키움,100,48,522,4,0,377,43,5,0.991,7,49,21,30.0
김태진,2루수,0.179,2023,키움,24,13,139 1/3,1,0,41,46,13,0.989,0,0,0,-
김준완,좌익수,0.142,2023,키움,44,31,281 1/3,0,0,69,1,0,1.000,0,0,0,-
김휘집,3루수,0.138,2023,키움,43,35,295 1/3,4,0,19,56,3,0.949,0,0,0,-
전병우,3루수,0.113,2023,키움,6,0,9,0,0,0,3,1,1.000,0,0,0,-
이주형,중견수,0.112,2023,키움,25,24,207,0,0,75,0,0,1.000,0,0,0,-
주성원,좌익수,0.109,2023,키움,4,4,29,0,0,8,0,0,1.000,0,0,0,-
김시앙,포수,0.105,2023,키움,32,24,198 1/3,0,1,134,13,1,1.000,2,25,4,13.8
박주홍,1루수,0.095,2023,키움,9,9,55,0,0,51,2,7,1.000,0,0,0,-
임병욱,중견수,0.094,2023,키움,18,13,124,1,0,40,1,0,0.976,0,0,0,-
러셀,유격수,0.082,2023,키움,51,49,407 2/3,3,0,68,113,24,0.984,0,0,0,-
송성문,1루수,0.078,2023,키움,26,18,145 2/3,2,0,134,12,12,0.986,0,0,0,-
신준우,2루수,0.058,2023,키움,8,0,14,0,0,2,5,1,1.000,0,0,0,-
김주형,3루수,0.057,2023,키움,3,1,9,0,0,2,0,0,1.000,0,0,0,-
도슨,좌익수,0.055,2023,키움,22,19,159 2/3,2,0,45,0,0,0.957,0,0,0,-
김병휘,유격수,0.032,2023,키움,3,0,11,1,0,4,3,1,0.875,0,0,0,-
이병규,1루수,0.028,2023,키움,4,3,24,0,0,22,1,3,1.000,0,0,0,-
김준완,중견수,0.016,2023,키움,5,1,16,0,0,7,0,0,1.000,0,0,0,-
박주홍,중견수,0.0,2023,키움,1,0,2/3,0,0,0,0,0,-,0,0,0,-
박찬혁,좌익수,-0.012,2023,키움,27,24,203,1,0,50,1,0,0.981,0,0,0,-
김주형,2루수,-0.012,2023,키움,4,0,7,0,0,1,3,1,1.000,0,0,0,-
김태진,1루수,-0.019,2023,키움,1,0,2,0,0,1,0,0,1.000,0,0,0,-
이주형,우익수,-0.036,2023,키움,9,6,61,0,0,16,0,0,1.000,0,0,0,-
김병휘,2루수,-0.047,2023,키움,7,6,44 1/3,0,0,10,10,2,1.000,0,0,0,-
이승원,유격수,-0.054,2023,키움,4,2,11,1,0,2,3,1,0.833,0,0,0,-
박준태,우익수,-0.064,2023,키움,8,4,41,0,0,6,0,0,1.000,0,0,0,-
이주형,좌익수,-0.087,2023,키움,7,2,29,0,0,5,0,0,1.000,0,0,0,-
박수종,중견수,-0.094,2023,키움,3,0,5,0,0,2,0,0,1.000,0,0,0,-
박준태,좌익수,-0.094,2023,키움,4,0,7 2/3,1,0,1,0,0,0.500,0,0,0,-
이용규,우익수,-0.094,2023,키움,4,2,12,0,0,4,0,0,1.000,0,0,0,-
예진원,우익수,-0.095,2023,키움,5,3,25,0,0,5,0,0,1.000,0,0,0,-
김수환,3루수,-0.095,2023,키움,4,1,7 2/3,1,0,0,1,0,0.500,0,0,0,-
임병욱,좌익수,-0.095,2023,키움,23,15,150,1,0,29,1,0,0.968,0,0,0,-
박찬혁,우익수,-0.096,2023,키움,2,2,15,0,0,1,0,0,1.000,0,0,0,-
송재선,우익수,-0.098,2023,키움,2,1,10,0,0,0,0,0,-,0,0,0,-
송성문,2루수,-0.114,2023,키움,6,1,16 2/3,0,0,4,1,0,1.000,0,0,0,-
예진원,좌익수,-0.125,2023,키움,7,4,38 2/3,0,0,9,1,0,1.000,0,0,0,-
주성원,우익수,-0.134,2023,키움,17,16,115,1,0,27,2,0,0.967,0,0,0,-
임지열,좌익수,-0.143,2023,키움,21,10,101,0,0,26,2,0,1.000,0,0,0,-
