선수명,포지션,수비 승리 기여도,년도,순위,팀명,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
최재훈,포수,1.728,2019,2,한화,133,126,1022 2/3,6,3,788,76,17,0.993,8,84,31,27.0
호잉,우익수,1.007,2019,5,한화,88,65,606 2/3,2,0,141,7,4,0.987,0,0,0,-
김민하,좌익수,0.533,2019,14,한화,50,25,257 2/3,2,0,64,3,0,0.971,0,0,0,-
장진혁,우익수,0.257,2019,36,한화,18,15,127 1/3,0,0,31,1,0,1.000,0,0,0,-
양성우,우익수,0.252,2019,47,한화,12,6,62,0,0,20,1,0,1.000,0,0,0,-
송광민,3루수,0.200,2019,3,한화,120,115,974,16,0,79,218,33,0.949,0,0,0,-
이시원,중견수,0.185,2019,49,한화,11,0,28,0,0,10,0,0,1.000,0,0,0,-
김종민,포수,0.179,2019,53,한화,10,5,50 2/3,0,0,42,5,0,1.000,0,4,0,0.0
김회성,3루수,0.177,2019,36,한화,18,10,96 2/3,1,0,7,25,5,0.970,0,0,0,-
김민하,우익수,0.173,2019,44,한화,14,3,40,0,0,12,1,0,1.000,0,0,0,-
강경학,1루수,0.116,2019,36,한화,18,5,69,0,0,70,3,7,1.000,0,0,0,-
이원석,중견수,0.106,2019,65,한화,4,0,10,0,0,4,0,0,1.000,0,0,0,-
김인환,1루수,0.077,2019,39,한화,17,14,97,1,0,83,5,5,0.989,0,0,0,-
박한결,유격수,0.057,2019,56,한화,7,2,29,0,0,5,8,1,1.000,0,0,0,-
김민하,중견수,0.041,2019,53,한화,10,5,46 1/3,0,0,11,0,0,1.000,0,0,0,-
김창혁,포수,0.039,2019,72,한화,2,0,6,0,0,5,0,0,1.000,0,0,0,-
하주석,유격수,0.013,2019,61,한화,5,5,38,2,0,10,11,2,0.913,0,0,0,-
이시원,우익수,0.009,2019,72,한화,2,0,5,0,0,1,0,0,1.000,0,0,0,-
호잉,중견수,0.007,2019,8,한화,61,57,433 2/3,0,0,132,2,0,1.0,0,0,0,-
김회성,2루수,0.001,2019,80,한화,1,0,2,0,0,1,1,1,1.000,0,0,0,-
변우혁,3루수,0.000,2019,80,한화,1,0,2,0,0,0,0,0,-,0,0,0,-
박준혁,좌익수,-0.002,2019,80,한화,1,0,5,0,0,0,0,0,-,0,0,0,-
이창열,유격수,-0.002,2019,80,한화,1,0,3,0,0,0,0,0,-,0,0,0,-
이원석,좌익수,-0.004,2019,72,한화,2,0,5,0,0,0,0,0,-,0,0,0,-
이창열,2루수,-0.005,2019,80,한화,1,0,3,0,0,0,0,0,-,0,0,0,-
오선진,유격수,-0.009,2019,3,한화,120,113,954 2/3,12,0,160,303,69,0.975,0,0,0,-
이창열,3루수,-0.010,2019,72,한화,2,1,9,0,0,1,3,0,1.000,0,0,0,-
장운호,우익수,-0.020,2019,72,한화,2,1,11,0,0,1,0,0,1.000,0,0,0,-
노시환,유격수,-0.023,2019,35,한화,22,4,60,0,0,11,21,7,1.000,0,0,0,-
이성열,좌익수,-0.026,2019,72,한화,2,0,4,0,0,0,0,0,-,0,0,0,-
오선진,2루수,-0.031,2019,68,한화,3,3,18,0,0,6,7,3,1.000,0,0,0,-
정은원,2루수,-0.033,2019,1,한화,142,137,1192 2/3,13,0,299,421,115,0.982,0,0,0,-
김태연,3루수,-0.034,2019,61,한화,5,0,11,1,0,2,1,0,0.750,0,0,0,-
이시원,좌익수,-0.045,2019,55,한화,8,5,39 1/3,0,0,9,0,0,1.000,0,0,0,-
김민하,1루수,-0.053,2019,80,한화,1,0,2,0,0,1,0,0,1.000,0,0,0,-
오선진,3루수,-0.059,2019,65,한화,4,0,9,0,0,1,2,0,1.000,0,0,0,-
장운호,좌익수,-0.060,2019,65,한화,4,1,14,0,0,1,1,0,1.000,0,0,0,-
최진행,좌익수,-0.078,2019,18,한화,44,36,267,0,0,68,0,0,1.0,0,0,0,-
백진우,우익수,-0.092,2019,61,한화,5,5,25 2/3,0,0,6,0,0,1.000,0,0,0,-
양성우,중견수,-0.096,2019,80,한화,1,1,8,0,0,0,0,0,-,0,0,0,-
강경학,유격수,-0.133,2019,30,한화,27,17,153,3,0,31,51,18,0.965,0,0,0,-
강경학,2루수,-0.144,2019,46,한화,13,4,51,1,0,20,14,6,0.971,0,0,0,-
백진우,좌익수,-0.157,2019,49,한화,11,11,81,0,0,16,1,0,1.000,0,0,0,-
변우혁,1루수,-0.170,2019,30,한화,27,14,133,1,0,124,12,18,0.993,0,0,0,-
노시환,포수,-0.173,2019,80,한화,1,0,3,0,0,2,0,0,1.000,0,1,0,0.0
노시환,1루수,-0.210,2019,22,한화,36,24,201 2/3,2,0,202,13,19,0.991,0,0,0,-
정근우,1루수,-0.247,2019,27,한화,30,24,206 2/3,4,0,192,11,22,0.981,0,0,0,-
