순위,선수명,팀명,포지션,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
1,노시환,한화,3루수,74,74,648,4,0,59,123,14,0.978,0,0,0,-
2,최인호,한화,좌익수,59,44,381 2/3,2,0,91,3,0,0.979,0,0,0,-
3,최재훈,한화,포수,57,49,413,2,3,376,31,5,0.995,3,34,13,27.7
4,이도윤,한화,유격수,50,38,342,4,0,59,94,30,0.975,0,0,0,-
5,문현빈,한화,2루수,47,38,321,1,0,62,105,28,0.994,0,0,0,-
6,페라자,한화,우익수,38,38,303,7,0,71,3,1,0.914,0,0,0,-
7,김범수,한화,투수,35,0,31 1/3,1,0,1,3,0,0.8,0,0,0,-
7,김태연,한화,1루수,35,25,246 1/3,4,0,203,21,16,0.982,0,0,0,-
9,김규연,한화,투수,34,1,33 1/3,0,0,0,6,0,1.0,0,0,0,-
10,주현상,한화,투수,33,0,38,0,0,1,4,0,1.0,0,0,0,-
10,한승혁,한화,투수,33,0,30 2/3,1,0,4,4,0,0.889,0,0,0,-
12,이민우,한화,투수,32,0,27 1/3,0,0,6,2,1,1.0,0,0,0,-
13,안치홍,한화,1루수,31,31,257,4,0,208,22,28,0.983,0,0,0,-
13,황영묵,한화,유격수,31,23,199,1,0,35,54,10,0.989,0,0,0,-
15,장시환,한화,투수,28,0,31 2/3,1,0,1,4,0,0.833,0,0,0,-
16,박상원,한화,투수,27,0,23 2/3,0,1,1,2,0,1.0,0,0,0,-
16,이원석,한화,중견수,27,10,119,0,0,34,0,0,1.0,0,0,0,-
18,김강민,한화,중견수,26,13,129,0,0,35,0,0,1.0,0,0,0,-
18,박상언,한화,포수,26,9,113,1,0,91,5,1,0.99,1,20,1,4.8
18,이재원,한화,포수,26,17,136,1,0,109,11,1,0.992,3,15,5,25.0
18,황영묵,한화,2루수,26,18,168 1/3,5,0,59,57,15,0.959,0,0,0,-
22,페라자,한화,좌익수,24,13,121 1/3,1,0,28,1,0,0.967,0,0,0,-
23,장민재,한화,투수,20,0,22 1/3,0,0,0,1,0,1.0,0,0,0,-
23,장진혁,한화,중견수,20,17,132,0,0,30,0,0,1.0,0,0,0,-
25,이도윤,한화,2루수,19,7,82,2,0,21,26,3,0.959,0,0,0,-
25,이진영,한화,중견수,19,12,109,0,0,37,0,0,1.0,0,0,0,-
25,채은성,한화,1루수,19,18,152 2/3,2,0,145,8,16,0.987,0,0,0,-
25,채은성,한화,우익수,19,18,152,0,0,35,0,0,1.0,0,0,0,-
25,하주석,한화,유격수,19,14,119,0,0,21,41,7,1.0,0,0,0,-
30,임종찬,한화,중견수,16,15,105,0,0,23,2,0,1.0,0,0,0,-
31,김태연,한화,우익수,15,14,110,1,0,22,2,0,0.960,0,0,0,-
31,류현진,한화,투수,15,15,85,1,0,0,14,1,0.933,0,0,0,-
31,황준서,한화,투수,15,11,53 2/3,1,1,0,9,1,0.900,0,0,0,-
34,임종찬,한화,우익수,13,1,33,0,0,6,0,0,1.000,0,0,0,-
34,장진혁,한화,좌익수,13,7,75,0,0,22,0,0,1.000,0,0,0,-
36,김기중,한화,투수,12,3,24 2/3,0,0,0,0,0,-,0,0,0,-
36,문동주,한화,투수,12,12,62 1/3,0,0,4,7,0,1.000,0,0,0,-
38,산체스,한화,투수,11,11,53 1/3,1,0,2,7,0,0.900,0,0,0,-
39,이태양,한화,투수,10,1,9 1/3,0,0,1,0,0,1.000,0,0,0,-
39,장지수,한화,투수,10,0,10,0,0,2,1,0,1.000,0,0,0,-
39,장진혁,한화,우익수,10,2,34,0,0,7,0,0,1.000,0,0,0,-
39,정은원,한화,좌익수,10,9,70,0,0,20,0,0,1.000,0,0,0,-
39,한승주,한화,투수,10,0,11 2/3,0,0,0,2,0,1.000,0,0,0,-
44,페냐,한화,투수,9,9,37 1/3,0,0,0,1,0,1.000,0,0,0,-
45,김서현,한화,투수,6,0,7,0,0,0,1,0,1.000,0,0,0,-
45,김태연,한화,2루수,6,4,30 2/3,2,0,10,9,3,0.905,0,0,0,-
45,이진영,한화,우익수,6,2,18,0,0,3,0,0,1.000,0,0,0,-
45,정은원,한화,중견수,6,6,46,1,0,12,0,0,0.923,0,0,0,-
49,윤대경,한화,투수,5,0,5 2/3,0,0,0,0,0,-,0,0,0,-
49,조동욱,한화,투수,5,5,21 1/3,0,0,1,3,0,1.000,0,0,0,-
51,바리아,한화,투수,4,4,21 2/3,1,0,2,4,1,0.857,0,0,0,-
51,안치홍,한화,2루수,4,4,29,0,0,5,9,2,1.000,0,0,0,-
51,이원석,한화,우익수,4,0,6,0,0,3,0,0,1.000,0,0,0,-
51,정은원,한화,2루수,4,4,31,0,0,6,10,4,1.000,0,0,0,-
55,김민우,한화,투수,3,3,12 1/3,0,0,0,0,0,-,0,0,0,-
55,이상혁,한화,우익수,3,0,4,0,0,1,0,0,1.000,0,0,0,-
55,이충호,한화,투수,3,0,2 1/3,0,0,0,0,0,-,0,0,0,-
55,하주석,한화,3루수,3,1,10,1,0,2,3,0,0.833,0,0,0,-
55,황영묵,한화,3루수,3,0,3,0,0,0,1,0,1.000,0,0,0,-
60,유로결,한화,중견수,2,2,18,0,0,2,0,0,1.000,0,0,0,-
60,유로결,한화,좌익수,2,2,11,0,0,2,0,0,1.000,0,0,0,-
62,김인환,한화,1루수,1,1,6,1,0,3,1,0,0.800,0,0,0,-
62,남지민,한화,투수,1,0,2 1/3,0,0,0,0,0,-,0,0,0,-
62,문현빈,한화,유격수,1,0,2,0,0,2,0,1,1.000,0,0,0,-
62,배민서,한화,투수,1,0,1 2/3,0,0,0,0,0,-,0,0,0,-
62,유로결,한화,우익수,1,0,2,0,0,0,0,0,-,0,0,0,-
62,이도윤,한화,3루수,1,0,1,0,0,0,0,0,-,0,0,0,-
62,이명기,한화,중견수,1,0,1,0,0,0,0,0,-,0,0,0,-
62,이명기,한화,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-
62,이상규,한화,투수,1,0,2,0,0,0,0,0,-,0,0,0,-
62,이상혁,한화,중견수,1,0,3,0,0,0,0,0,-,0,0,0,-
62,이상혁,한화,좌익수,1,0,2,0,0,0,0,0,-,0,0,0,-
