순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,허관회,한화,0.5,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.5,0.5,1.0,0,0.0,0.0
2,김건,한화,0.4,4,5,5,2,2,0,0,0,2,0,0,0,0,0,0,1,0,0.4,0.4,0.8,0,1.0,0.0
3,최승준,한화,0.333,2,4,3,1,1,0,0,0,1,1,0,0,0,0,1,2,0,0.333,0.5,0.833,0,0.5,0.0
4,최재훈,한화,0.301,126,389,339,46,102,19,0,3,130,36,5,0,29,0,16,44,7,0.383,0.383,0.766,19,0.325,0.3
5,이용규,한화,0.286,120,487,419,60,120,14,2,1,141,32,2,1,59,0,6,36,9,0.337,0.381,0.718,31,0.294,0.0
6,하주석,한화,0.286,72,281,262,22,75,11,0,2,92,32,2,2,13,0,2,66,3,0.351,0.323,0.674,20,0.306,0.0
7,김민하,한화,0.284,36,85,74,10,21,6,0,1,30,11,1,0,8,0,2,16,2,0.405,0.369,0.774,6,0.368,0.2
8,박정현,한화,0.279,30,64,61,6,17,3,0,1,23,9,0,0,3,0,0,17,2,0.377,0.313,0.69,2,0.235,0.417
9,정진호,한화,0.277,113,326,282,30,78,14,1,2,100,19,10,2,29,1,3,50,5,0.355,0.348,0.703,16,0.192,0.348
10,이해창,한화,0.269,70,135,119,11,32,5,0,3,46,17,1,2,9,0,4,23,6,0.387,0.336,0.723,6,0.391,0.333
11,반즈,한화,0.265,74,319,283,38,75,17,1,9,121,42,0,2,27,1,7,81,4,0.428,0.342,0.77,23,0.348,0.0
12,노수광,한화,0.251,100,330,291,39,73,10,3,1,92,21,2,1,34,2,2,64,2,0.316,0.332,0.648,20,0.219,0.385
13,정은원,한화,0.248,79,303,254,28,63,9,2,3,85,29,2,1,41,0,5,41,4,0.335,0.362,0.697,17,0.232,0.333
14,최인호,한화,0.236,47,135,127,8,30,0,0,0,30,8,1,2,4,0,1,34,3,0.236,0.261,0.497,7,0.226,0.222
15,송광민,한화,0.235,94,298,277,31,65,12,0,9,104,43,1,3,14,1,3,69,17,0.375,0.276,0.651,14,0.27,0.125
16,최진행,한화,0.234,84,240,214,23,50,5,0,8,79,30,0,3,18,0,5,59,11,0.369,0.304,0.673,11,0.212,0.292
17,오선진,한화,0.234,93,222,197,17,46,4,0,2,56,17,6,0,16,0,3,39,10,0.284,0.301,0.585,7,0.188,0.0
18,임종찬,한화,0.231,52,119,108,5,25,5,0,1,33,12,1,0,9,0,1,38,2,0.306,0.297,0.603,5,0.222,0.143
19,강경학,한화,0.228,94,238,193,25,44,7,1,4,65,19,5,2,35,0,3,64,2,0.337,0.352,0.689,6,0.182,0.227
20,양성우,한화,0.222,5,9,9,1,2,0,0,0,2,0,0,0,0,0,0,3,0,0.222,0.222,0.444,0,0.0,0.0
21,조한민,한화,0.22,25,52,50,7,11,4,0,0,15,2,0,0,0,0,2,22,0,0.3,0.25,0.55,3,0.2,0.333
22,노시환,한화,0.22,106,387,346,46,76,18,2,12,134,43,1,1,33,1,6,116,8,0.387,0.298,0.685,19,0.16,0.0
23,김태균,한화,0.219,67,254,219,14,48,11,0,2,65,29,1,2,30,3,2,42,8,0.297,0.316,0.613,12,0.321,0.0
24,김문호,한화,0.217,18,52,46,6,10,1,0,2,17,5,0,0,5,0,1,11,1,0.37,0.308,0.678,3,0.143,0.2
24,박상언,한화,0.217,38,47,46,4,10,3,0,0,13,2,0,0,0,0,1,16,1,0.283,0.234,0.517,1,0.0,0.0
26,노태형,한화,0.216,55,113,102,14,22,4,1,0,28,6,1,0,7,0,3,31,0,0.275,0.286,0.561,6,0.208,0.286
27,이도윤,한화,0.208,14,25,24,3,5,1,0,0,6,1,0,0,1,0,0,6,0,0.25,0.24,0.49,0,0.2,0.0
28,이성열,한화,0.203,79,248,227,23,46,5,0,8,75,34,0,0,16,0,5,69,4,0.33,0.27,0.6,8,0.194,0.368
29,호잉,한화,0.194,34,134,124,12,24,4,0,4,40,14,0,0,9,0,1,34,4,0.323,0.254,0.577,7,0.214,0.0
30,김회성,한화,0.167,15,25,18,1,3,1,0,0,4,1,2,1,3,0,1,6,2,0.222,0.304,0.526,0,0.0,0.0
30,유로결,한화,0.167,30,46,42,3,7,1,0,0,8,0,0,0,4,0,0,18,0,0.190,0.239,0.429,2,0.2,0.0
32,정기훈,한화,0.161,29,36,31,9,5,2,0,0,7,2,0,0,3,0,2,15,0,0.226,0.278,0.504,0,0.167,0.125
33,김지수,한화,0.160,14,26,25,2,4,0,0,1,7,4,0,0,1,0,0,7,0,0.280,0.192,0.472,0,0.4,0.5
34,장진혁,한화,0.156,19,37,32,2,5,0,1,0,7,1,0,0,5,0,0,6,0,0.219,0.270,0.489,0,0.182,0.0
35,박한결,한화,0.150,13,24,20,5,3,0,0,0,3,1,2,0,2,0,0,8,2,0.150,0.227,0.377,1,0.2,0.0
36,장운호,한화,0.148,24,29,27,5,4,1,0,1,8,4,0,0,2,0,0,9,0,0.296,0.207,0.503,0,0.333,0.0
37,이시원,한화,0.105,37,39,38,5,4,0,0,0,4,1,0,0,0,0,1,14,0,0.105,0.128,0.233,0,0.083,0.0
38,김진욱,한화,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0
38,정우람,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
