순위,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
1,하주석,한화,125,26,20,6,76.9,7,0
2,터크먼,한화,144,30,19,11,63.3,2,1
3,노수광,한화,117,23,17,6,73.9,8,3
4,정은원,한화,140,16,10,6,62.5,4,0
5,노시환,한화,115,8,6,2,75.0,2,1
5,박정현,한화,81,7,6,1,85.7,3,0
7,김태연,한화,119,5,3,2,60.0,6,0
7,이도윤,한화,80,5,3,2,60.0,2,0
9,김인환,한화,113,2,2,0,100,6,0
9,이진영,한화,70,4,2,2,50.0,2,0
9,장진혁,한화,41,3,2,1,66.7,1,0
12,이성곤,한화,41,2,1,1,50.0,1,0
12,최재훈,한화,114,2,1,1,50.0,1,0
12,허관회,한화,15,1,1,0,100,0,0
15,강상원,한화,1,0,0,0,-,0,0
15,권광민,한화,32,1,0,1,0.0,0,0
15,김민우,한화,1,0,0,0,-,0,0
15,김범수,한화,1,0,0,0,-,0,0
15,류희운,한화,2,0,0,0,-,0,0
15,박상언,한화,56,3,0,3,0.0,0,0
15,백용환,한화,4,0,0,0,-,0,0
15,변우혁,한화,21,0,0,0,-,0,0
15,신정락,한화,1,0,0,0,-,0,0
15,원혁재,한화,11,0,0,0,-,0,0
15,유로결,한화,30,0,0,0,-,2,0
15,유상빈,한화,17,1,0,1,0.0,0,1
15,윤호솔,한화,1,0,0,0,-,0,0
15,이원석,한화,20,0,0,0,-,0,0
15,이해창,한화,4,0,0,0,-,0,0
15,임종찬,한화,20,1,0,1,0.0,0,0
15,장시환,한화,3,0,0,0,-,0,0
15,장운호,한화,57,2,0,2,0.0,1,0
15,정민규,한화,9,0,0,0,-,1,0
15,주현상,한화,2,0,0,0,-,0,0
15,허인서,한화,8,0,0,0,-,0,0
