선수명,포지션,수비 승리 기여도,년도,순위,팀명,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
최재훈,포수,1.732,2023,2,한화,120,106,884 1/3,3,2,704,67,4,0.996,6,60,27,31.0
이도윤,유격수,1.57,2023,4,한화,97,90,746,8,0,157,203,43,0.978,0,0,0,-
노시환,3루수,0.758,2023,1,한화,122,121,1065 2/3,19,0,114,228,20,0.947,0,0,0,-
이진영,우익수,0.744,2023,5,한화,80,53,509 1/3,4,0,127,9,0,0.971,0,0,0,-
문현빈,2루수,0.435,2023,14,한화,54,42,358,5,0,77,102,17,0.973,0,0,0,-
박상언,포수,0.431,2023,6,한화,79,38,388 2/3,1,1,333,34,3,0.997,4,31,15,32.6
최인호,좌익수,0.324,2023,22,한화,37,35,271 1/3,1,0,76,0,0,0.987,0,0,0,-
정은원,2루수,0.295,2023,3,한화,101,92,797 2/3,8,0,188,245,57,0.982,0,0,0,-
김태연,우익수,0.292,2023,29,한화,30,26,188 2/3,1,0,45,2,1,0.979,0,0,0,-
윌리엄스,우익수,0.277,2023,41,한화,21,21,159,2,0,33,1,1,0.944,0,0,0,-
오선진,2루수,0.215,2023,58,한화,8,3,30,0,0,14,7,2,1.0,0,0,0,-
이원석,중견수,0.193,2023,10,한화,64,25,294 1/3,2,0,93,3,1,0.98,0,0,0,-
노수광,중견수,0.154,2023,63,한화,7,4,41 1/3,0,0,10,0,0,1.000,0,0,0,-
이진영,좌익수,0.149,2023,41,한화,21,15,140 1/3,1,0,34,0,0,0.971,0,0,0,-
이도윤,2루수,0.121,2023,49,한화,15,2,57,0,0,14,22,2,1.0,0,0,0,-
박정현,유격수,0.116,2023,25,한화,32,20,186,7,0,37,47,11,0.923,0,0,0,-
김태연,2루수,0.1,2023,64,한화,6,5,41,1,0,8,21,4,0.967,0,0,0,-
권광민,1루수,0.092,2023,58,한화,8,1,20,1,0,20,2,2,0.957,0,0,0,-
문현빈,유격수,0.091,2023,56,한화,9,5,48,2,0,10,13,3,0.92,0,0,0,-
오그레디,좌익수,0.078,2023,49,한화,15,15,126 2/3,0,0,36,1,0,1.0,0,0,0,-
김태연,3루수,0.065,2023,56,한화,9,4,38,0,0,3,4,1,1.0,0,0,0,-
이명기,좌익수,0.063,2023,79,한화,2,1,14,1,0,5,0,0,0.833,0,0,0,-
이재용,포수,0.048,2023,79,한화,2,0,4,0,0,2,0,0,1.000,0,0,0,-
