순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,김태연,한화,0.301,53,220,176,29,53,12,0,3,74,34,0,5,34,0,5,44,4,0.42,0.418,0.838,15,0.322,0.0
2,정은원,한화,0.283,139,608,495,85,140,22,5,6,190,39,4,3,105,1,1,105,9,0.384,0.407,0.791,40,0.312,0.5
3,최재훈,한화,0.275,116,467,375,52,103,21,0,7,145,44,5,3,72,2,12,68,16,0.387,0.405,0.792,29,0.275,0.0
4,하주석,한화,0.272,138,594,525,84,143,27,3,10,206,68,5,3,51,1,10,135,9,0.392,0.346,0.738,39,0.269,0.0
5,노시환,한화,0.271,107,458,380,56,103,18,1,18,177,84,0,4,73,9,1,107,15,0.466,0.386,0.852,25,0.341,0.0
6,페레즈,한화,0.268,59,252,224,26,60,15,1,5,92,33,0,7,17,0,4,52,4,0.411,0.321,0.732,19,0.209,0.0
7,이성곤,한화,0.264,62,208,174,17,46,12,2,1,65,24,1,1,29,0,3,53,4,0.374,0.377,0.751,13,0.241,0.25
8,힐리,한화,0.257,67,268,249,27,64,11,1,7,98,37,0,1,16,0,2,58,6,0.394,0.306,0.7,20,0.278,0.333
9,장규현,한화,0.25,7,12,12,0,3,1,0,0,4,1,0,0,0,0,0,4,1,0.333,0.25,0.583,0,0.0,0.0
10,장운호,한화,0.235,103,338,285,36,67,10,0,0,77,28,7,3,36,0,7,77,7,0.27,0.332,0.602,17,0.265,0.0
11,노수광,한화,0.231,52,180,160,21,37,7,0,3,53,14,2,0,17,0,1,46,1,0.331,0.309,0.64,8,0.225,0.0
12,정진호,한화,0.228,47,167,145,9,33,9,0,0,42,15,4,2,15,1,1,22,5,0.29,0.301,0.591,8,0.146,0.0
13,이성열,한화,0.21,46,140,119,15,25,8,0,2,39,20,0,2,18,0,1,36,2,0.328,0.314,0.642,3,0.4,0.375
14,김민하,한화,0.209,46,142,115,14,24,4,1,1,33,17,0,2,17,0,8,36,3,0.287,0.345,0.632,2,0.314,0.2
15,최인호,한화,0.206,49,164,136,17,28,6,0,4,46,23,0,2,24,0,2,43,1,0.338,0.329,0.667,7,0.195,0.0
16,조한민,한화,0.197,52,145,127,15,25,6,2,5,50,18,1,2,13,0,2,57,4,0.394,0.278,0.672,4,0.31,0.0
17,박정현,한화,0.196,33,120,107,10,21,4,0,0,25,9,3,1,9,0,0,32,1,0.234,0.256,0.49,4,0.182,0.0
18,허관회,한화,0.19,28,79,63,4,12,0,0,0,12,2,0,2,13,0,1,22,1,0.19,0.329,0.519,0,0.056,0.25
19,이시원,한화,0.189,33,62,53,8,10,1,0,0,11,2,4,0,3,0,2,12,2,0.208,0.259,0.467,1,0.125,0.4
20,장지승,한화,0.18,24,72,61,7,11,1,0,1,15,5,2,1,7,0,1,24,4,0.246,0.271,0.517,1,0.182,0.25
21,이원석,한화,0.175,43,130,114,12,20,1,1,1,26,9,4,2,8,0,2,43,1,0.228,0.238,0.466,2,0.217,0.667
22,이도윤,한화,0.175,56,68,63,5,11,0,0,0,11,2,1,0,4,0,0,18,1,0.175,0.224,0.399,1,0.063,0.0
23,이해창,한화,0.167,20,60,54,4,9,3,0,0,12,4,3,1,1,0,1,13,0,0.222,0.193,0.415,3,0.263,0.0
24,임종찬,한화,0.153,42,146,131,9,20,5,0,1,28,8,2,0,12,0,1,49,2,0.214,0.229,0.443,1,0.13,0.0
25,유로결,한화,0.143,34,112,98,11,14,5,0,1,22,7,2,2,8,0,2,39,2,0.224,0.218,0.442,2,0.08,0.0
26,백용환,한화,0.14,39,102,86,10,12,1,0,4,25,4,2,0,11,0,3,26,4,0.291,0.26,0.551,2,0.059,0.429
27,정민규,한화,0.125,6,17,16,1,2,1,0,0,3,0,0,0,1,0,0,6,1,0.188,0.176,0.364,0,0.0,0.0
28,노태형,한화,0.116,18,49,43,6,5,1,0,0,6,1,0,0,6,0,0,15,0,0.14,0.224,0.364,1,0.1,0.0
29,강상원,한화,0.108,35,49,37,7,4,0,0,0,4,2,2,0,9,0,1,11,0,0.108,0.298,0.406,1,0.1,0.0
30,김지수,한화,0.083,11,25,24,0,2,1,0,0,3,0,0,0,1,0,0,14,0,0.125,0.12,0.245,1,0.125,0.0
30,김건,한화,0.083,5,12,12,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0.083,0.083,0.166,0,0.0,0.0
32,강재민,한화,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
32,김기탁,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
32,김종수,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
32,김태균,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
32,박상언,한화,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0
32,송윤준,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
32,송호정,한화,0.000,10,11,10,1,0,0,0,0,0,0,0,0,1,0,0,8,0,0.000,0.091,0.091,0,0.0,0.0
32,신정락,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
32,윤대경,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
32,윤호솔,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
32,임준섭,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
32,장민재,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
32,정우람,한화,-,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
